author ,title ,organism ,carbon substrate,method,additonal media notes,measurement,cell type,original value ,units ,Fraction ,Condition
Jong-gubbels et al. 1995,"Regulation of Carbon Metabolism in Chemostat
Cultures of Saccharomyces cerevisiae Grown on
Mixtures of Glucose and Ethanol",yeast ,glucose ,cheomstat (D = 0.1 h-1),carbon-limited minimal mineral medium ,biomass yield ,S. cerevisiae T23D,15.9,g weight Cmol-1,0.53,Respiration
Jong-gubbels et al. 1995,"Regulation of Carbon Metabolism in Chemostat
Cultures of Saccharomyces cerevisiae Grown on
Mixtures of Glucose and Ethanol",yeast ,ethanol,chemostat D = 0.1 h-1),carbon-limited minimal mineral medium ,biomass yield ,S. cerevisiae T23D,14,g weight Cmol-1,0.466666667,Respiration
Postma et al. 1989,"Enzymic Analysis of the Crabtree Effect in Glucose-Limited
Chemostat Cultures of Saccharomyces cerevisiae",yeast ,glucose ,chemostat (D = 0.1 h-1),carbon-limited minimal mineral medium ,biomass yield ,S. cerevisiae T23D,0.498,g [dry weight] gram of glucose-1,0.498,Respiration
Postma et al. 1989,"Enzymic Analysis of the Crabtree Effect in Glucose-Limited
Chemostat Cultures of Saccharomyces cerevisiae",yeast ,glucose ,chemostat (D = 0.5 h-1),carbon-limited minimal mineral medium ,biomass yield ,S. cerevisiae T23D,0.175,g [dry weight] gram of glucose-1,0.175,Fermentation
Postma et al. 1989,"Kinetics of Growth and Glucose Transport in
Glucose-limited Chemostat Cultures of Saccharomyces
cerevisiae CBS 8066 ",yeast ,glucose ,chemostat (D = 0.1 h-1),carbon-limited minimal mineral medium ,biomass yield ,S. cerevisiae CBS 8066,0.51,g of biomass (g glucose)-1,0.51,Respiration
Postma et al. 1989,"Kinetics of Growth and Glucose Transport in
Glucose-limited Chemostat Cultures of Saccharomyces
cerevisiae CBS 8066 ",yeast ,glucose ,chemostat (D = 0.46 h-1),carbon-limited minimal mineral medium ,biomass yield ,S. cerevisiae CBS 8066,0.16,g of biomass (g glucose)-1,0.16,Fermentation
van Hoek et al. 2000,"Regulation of fermentative capacity and levels of glycolytic enzymes in
chemostat cultures of Saccharomyces cerevisiae",yeast ,glucose ,cheomstat (D = 0.1 h-1),ethanol (aerobic),biomass yield ,S. cerevisiae CEN.PK113-7D,0.6,g biomass (g substrate)-1,0.6,Respiration
van Hoek et al. 2000,"Regulation of fermentative capacity and levels of glycolytic enzymes in
chemostat cultures of Saccharomyces cerevisiae",yeast ,glucose ,cheomstat (D = 0.1 h-1),glucose (aerobic),biomass yield ,S. cerevisiae CEN.PK113-7D,0.5,g biomass (g substrate)-1,0.5,Respiration
van Hoek et al. 2000,"Regulation of fermentative capacity and levels of glycolytic enzymes in
chemostat cultures of Saccharomyces cerevisiae",yeast ,glucose ,cheomstat (D = 0.1 h-1),n-limitation on glucose (aerobic),biomass yield ,S. cerevisiae CEN.PK113-7D,0.18,g biomass (g substrate)-1,0.18,Fermentation
van Hoek et al. 2000,"Regulation of fermentative capacity and levels of glycolytic enzymes in
chemostat cultures of Saccharomyces cerevisiae",yeast ,glucose ,cheomstat (D = 0.1 h-1),n-limitation on glucose (anaerobic),biomass yield ,S. cerevisiae CEN.PK113-7D,0.12,g biomass (g substrate)-1,0.12,Fermentation
