,variable,value,dataset_number,year,publication,estimate,organism
0,schmidt_2016_42°c_glucose_1,0.05369314480288276,676.0,52416.0,0.0,fermentation,ecoli
1,schmidt_2016_fructose_1,0.06283986725966653,832.0,52416.0,0.0,fermentation,ecoli
2,schmidt_2016_galactose_1,0.0470036607692567,780.0,52416.0,0.0,fermentation,ecoli
3,schmidt_2016_glucosamine_1,0.047748119221690734,416.0,52416.0,0.0,fermentation,ecoli
4,schmidt_2016_glucose_1,0.05409227293171364,286.0,52416.0,0.0,fermentation,ecoli
5,schmidt_2016_lb_1,0.0748718920328807,312.0,52416.0,0.0,fermentation,ecoli
6,schmidt_2016_mannose_1,0.044019230132141235,754.0,52416.0,0.0,fermentation,ecoli
7,schmidt_2016_osmotic-stress_glucose_1,0.05504534812874626,650.0,52416.0,0.0,fermentation,ecoli
8,schmidt_2016_ph6_glucose_1,0.06560032498164914,702.0,52416.0,0.0,fermentation,ecoli
9,schmidt_2016_xylose_1,0.0599267802945985,728.0,52416.0,0.0,fermentation,ecoli
