,variable,value,dataset_number,year,publication,estimate,organism
0,Nagaraj_2012_1,0.20178395061880713,696.0,233392.0,0.0,total,yeast
1,Newman_2006_minimal_1,0.14752992802743628,348.0,232696.0,0.0,total,yeast
2,Newman_2006_rich_1,0.18308021921871062,580.0,232696.0,0.0,total,yeast
3,bartolomeo_2020_Diauxic_1,0.2408956149317595,5104.0,234320.0,0.0,total,yeast
4,bartolomeo_2020_Diauxic_2,0.2545127529204449,5220.0,234320.0,0.0,total,yeast
5,bartolomeo_2020_Diauxic_3,0.24475170425466738,5336.0,234320.0,0.0,total,yeast
6,bartolomeo_2020_EtOH_1,0.32594807204759174,4756.0,234320.0,0.0,total,yeast
7,bartolomeo_2020_EtOH_2,0.316481910471462,4872.0,234320.0,0.0,total,yeast
8,bartolomeo_2020_EtOH_3,0.3231787877007073,4988.0,234320.0,0.0,total,yeast
9,bartolomeo_2020_Glu_1,0.11864971522069924,4408.0,234320.0,0.0,total,yeast
10,bartolomeo_2020_Glu_2,0.11928729844333791,4524.0,234320.0,0.0,total,yeast
11,bartolomeo_2020_Glu_3,0.11604651796497893,4640.0,234320.0,0.0,total,yeast
12,deGodoy_2008_1,0.20463157803762344,116.0,232928.0,0.0,total,yeast
13,gao_2021_1,0.2181554936496004,4292.0,234436.0,0.0,total,yeast
14,ho_2018_DGD_1,0.06267208147989294,1276.0,234088.0,0.0,total,yeast
15,ho_2018_KUL_1,0.20357187508717692,1508.0,234088.0,0.0,total,yeast
16,ho_2018_LAHT_1,0.2491934697549032,1624.0,234088.0,0.0,total,yeast
17,ho_2018_LAW_1,0.3128471112539821,1740.0,234088.0,0.0,total,yeast
18,ho_2018_NAG_1,0.0546069543497715,2320.0,234088.0,0.0,total,yeast
19,ho_2018_PENG_1,0.09338847395431989,2552.0,234088.0,0.0,total,yeast
20,ho_2018_PIC_1,0.0809755874955241,2668.0,234088.0,0.0,total,yeast
21,ho_2018_THAK_1,0.08804033646587871,2784.0,234088.0,0.0,total,yeast
22,ho_2018_WEB_1,0.06627715687526048,3016.0,234088.0,0.0,total,yeast
23,kito_2016_glu_1,0.11347724207456769,6148.0,233856.0,0.0,total,yeast
24,kito_2016_glu_2,0.10866955464905574,6264.0,233856.0,0.0,total,yeast
25,kito_2016_glu_3,0.10972272438847047,6612.0,233856.0,0.0,total,yeast
26,kito_2016_gly_1,0.16246240095493125,6380.0,233856.0,0.0,total,yeast
27,kito_2016_gly_2,0.15858056532112505,6496.0,233856.0,0.0,total,yeast
28,kito_2016_gly_3,0.17432487179988215,6728.0,233856.0,0.0,total,yeast
29,morgenstein_2017_Glc_1,0.25462502416771465,5452.0,233972.0,0.0,total,yeast
30,morgenstein_2017_Glc_2,0.2715279659652369,5568.0,233972.0,0.0,total,yeast
31,morgenstein_2017_Glc_3,0.2806431154543401,5684.0,233972.0,0.0,total,yeast
32,morgenstein_2017_Gly_1,0.356606194692371,5800.0,233972.0,0.0,total,yeast
33,morgenstein_2017_Gly_2,0.3698657205294005,5916.0,233972.0,0.0,total,yeast
34,morgenstein_2017_Gly_3,0.3710915660268262,6032.0,233972.0,0.0,total,yeast
35,paulo_2015_Gal_1,0.08955186197484631,3248.0,233740.0,0.0,total,yeast
36,paulo_2015_Gal_2,0.09084540751607031,3364.0,233740.0,0.0,total,yeast
37,paulo_2015_Gal_3,0.09071356777100564,3480.0,233740.0,0.0,total,yeast
38,paulo_2015_Glu_1,0.1023535440721991,3596.0,233740.0,0.0,total,yeast
39,paulo_2015_Glu_2,0.10094405841660076,3712.0,233740.0,0.0,total,yeast
40,paulo_2015_Glu_3,0.09945868484123743,3828.0,233740.0,0.0,total,yeast
41,paulo_2015_Raf_1,0.13701805485421217,3944.0,233740.0,0.0,total,yeast
42,paulo_2015_Raf_2,0.13547988541911885,4060.0,233740.0,0.0,total,yeast
43,paulo_2015_Raf_3,0.13389038305916076,4176.0,233740.0,0.0,total,yeast
44,paulo_2016_acetate_1,0.15070170914239736,7656.0,233856.0,0.0,total,yeast
45,paulo_2016_fructose_1,0.07241971690784456,7192.0,233856.0,0.0,total,yeast
46,paulo_2016_glucose_1,0.06753846416017448,6844.0,233856.0,0.0,total,yeast
47,paulo_2016_glycerol_1,0.11794549086977084,7888.0,233856.0,0.0,total,yeast
48,paulo_2016_lactate_1,0.1257669989711521,7540.0,233856.0,0.0,total,yeast
49,paulo_2016_maltose_1,0.13705832620956335,6960.0,233856.0,0.0,total,yeast
50,paulo_2016_oleate_1,0.1240132752027292,7076.0,233856.0,0.0,total,yeast
51,paulo_2016_pryuvate_1,0.11843735039810271,7772.0,233856.0,0.0,total,yeast
52,paulo_2016_sucrose_1,0.06785448539676771,7308.0,233856.0,0.0,total,yeast
53,paulo_2016_trehalose_1,0.12920992720501664,7424.0,233856.0,0.0,total,yeast
