,variable,value,dataset_number,year,publication,estimate,organism
0,Nagaraj_2012_1,0.30293483965450946,4518.0,1515036.0,0.0,total,yeast
1,Newman_2006_minimal_1,0.22878892671809115,2259.0,1510518.0,0.0,total,yeast
2,Newman_2006_rich_1,0.25491894259321385,3765.0,1510518.0,0.0,total,yeast
3,bartolomeo_2020_Diauxic_1,0.2987505632783623,33132.0,1521060.0,0.0,total,yeast
4,bartolomeo_2020_Diauxic_2,0.3154909148916521,33885.0,1521060.0,0.0,total,yeast
5,bartolomeo_2020_Diauxic_3,0.3028831308763284,34638.0,1521060.0,0.0,total,yeast
6,bartolomeo_2020_EtOH_1,0.3907796995383363,30873.0,1521060.0,0.0,total,yeast
7,bartolomeo_2020_EtOH_2,0.38137806023517595,31626.0,1521060.0,0.0,total,yeast
8,bartolomeo_2020_EtOH_3,0.38782802748441864,32379.0,1521060.0,0.0,total,yeast
9,bartolomeo_2020_Glu_1,0.1533994943965733,28614.0,1521060.0,0.0,total,yeast
10,bartolomeo_2020_Glu_2,0.15467331662541503,29367.0,1521060.0,0.0,total,yeast
11,bartolomeo_2020_Glu_3,0.15015571021972346,30120.0,1521060.0,0.0,total,yeast
12,deGodoy_2008_1,0.2852422401097984,753.0,1512024.0,0.0,total,yeast
13,gao_2021_1,0.2963132455926769,27861.0,1521813.0,0.0,total,yeast
14,ho_2018_DGD_1,0.15884206748540006,8283.0,1519554.0,0.0,total,yeast
15,ho_2018_KUL_1,0.26987745139792807,9789.0,1519554.0,0.0,total,yeast
16,ho_2018_LAHT_1,0.3507304715114891,10542.0,1519554.0,0.0,total,yeast
17,ho_2018_LAW_1,0.35381595565567503,11295.0,1519554.0,0.0,total,yeast
18,ho_2018_NAG_1,0.15621831981574935,15060.0,1519554.0,0.0,total,yeast
19,ho_2018_PENG_1,0.19972894953890993,16566.0,1519554.0,0.0,total,yeast
20,ho_2018_PIC_1,0.1832995414717457,17319.0,1519554.0,0.0,total,yeast
21,ho_2018_THAK_1,0.17477060935648345,18072.0,1519554.0,0.0,total,yeast
22,ho_2018_WEB_1,0.17197244929179345,19578.0,1519554.0,0.0,total,yeast
23,kito_2016_glu_1,0.1975106103562361,39909.0,1518048.0,0.0,total,yeast
24,kito_2016_glu_2,0.19924836937906024,40662.0,1518048.0,0.0,total,yeast
25,kito_2016_glu_3,0.19128212459370852,42921.0,1518048.0,0.0,total,yeast
26,kito_2016_gly_1,0.2772620046918117,41415.0,1518048.0,0.0,total,yeast
27,kito_2016_gly_2,0.2767064614699524,42168.0,1518048.0,0.0,total,yeast
28,kito_2016_gly_3,0.28356118705057126,43674.0,1518048.0,0.0,total,yeast
29,morgenstein_2017_Glc_1,0.3254604802308217,35391.0,1518801.0,0.0,total,yeast
30,morgenstein_2017_Glc_2,0.35288733842938275,36144.0,1518801.0,0.0,total,yeast
31,morgenstein_2017_Glc_3,0.35614890338171784,36897.0,1518801.0,0.0,total,yeast
32,morgenstein_2017_Gly_1,0.42942020821604615,37650.0,1518801.0,0.0,total,yeast
33,morgenstein_2017_Gly_2,0.4494357748124497,38403.0,1518801.0,0.0,total,yeast
34,morgenstein_2017_Gly_3,0.45148508180939095,39156.0,1518801.0,0.0,total,yeast
35,paulo_2015_Gal_1,0.19899086532093235,21084.0,1517295.0,0.0,total,yeast
36,paulo_2015_Gal_2,0.2001867030170355,21837.0,1517295.0,0.0,total,yeast
37,paulo_2015_Gal_3,0.1996285085234559,22590.0,1517295.0,0.0,total,yeast
38,paulo_2015_Glu_1,0.21034143834434607,23343.0,1517295.0,0.0,total,yeast
39,paulo_2015_Glu_2,0.21090224774433727,24096.0,1517295.0,0.0,total,yeast
40,paulo_2015_Glu_3,0.2081708244887907,24849.0,1517295.0,0.0,total,yeast
41,paulo_2015_Raf_1,0.25621620796619904,25602.0,1517295.0,0.0,total,yeast
42,paulo_2015_Raf_2,0.25476199371481234,26355.0,1517295.0,0.0,total,yeast
43,paulo_2015_Raf_3,0.25332723388037304,27108.0,1517295.0,0.0,total,yeast
44,paulo_2016_acetate_1,0.29568372081471395,49698.0,1518048.0,0.0,total,yeast
45,paulo_2016_fructose_1,0.1672651189594555,46686.0,1518048.0,0.0,total,yeast
46,paulo_2016_glucose_1,0.1604091571718106,44427.0,1518048.0,0.0,total,yeast
47,paulo_2016_glycerol_1,0.24413067829037816,51204.0,1518048.0,0.0,total,yeast
48,paulo_2016_lactate_1,0.24315585816316332,48945.0,1518048.0,0.0,total,yeast
49,paulo_2016_maltose_1,0.25030781379532774,45180.0,1518048.0,0.0,total,yeast
50,paulo_2016_oleate_1,0.24908844680599268,45933.0,1518048.0,0.0,total,yeast
51,paulo_2016_pryuvate_1,0.2385347927034751,50451.0,1518048.0,0.0,total,yeast
52,paulo_2016_sucrose_1,0.16789986284202282,47439.0,1518048.0,0.0,total,yeast
53,paulo_2016_trehalose_1,0.247754306651746,48192.0,1518048.0,0.0,total,yeast
