,variable,value,dataset_number,year,publication,estimate,organism
0,Nagaraj_2012_1,0.2212843052183911,1038.0,348076.0,0.0,total,yeast
1,Newman_2006_minimal_1,0.15411848726623537,519.0,347038.0,0.0,total,yeast
2,Newman_2006_rich_1,0.18846017371632334,865.0,347038.0,0.0,total,yeast
3,bartolomeo_2020_Diauxic_1,0.263869294022852,7612.0,349460.0,0.0,total,yeast
4,bartolomeo_2020_Diauxic_2,0.27985718862723546,7785.0,349460.0,0.0,total,yeast
5,bartolomeo_2020_Diauxic_3,0.26823656885659386,7958.0,349460.0,0.0,total,yeast
6,bartolomeo_2020_EtOH_1,0.36179532911579526,7093.0,349460.0,0.0,total,yeast
7,bartolomeo_2020_EtOH_2,0.3524945238341452,7266.0,349460.0,0.0,total,yeast
8,bartolomeo_2020_EtOH_3,0.35902364767746375,7439.0,349460.0,0.0,total,yeast
9,bartolomeo_2020_Glu_1,0.12769254968600977,6574.0,349460.0,0.0,total,yeast
10,bartolomeo_2020_Glu_2,0.12802585953020693,6747.0,349460.0,0.0,total,yeast
11,bartolomeo_2020_Glu_3,0.12507097528487154,6920.0,349460.0,0.0,total,yeast
12,deGodoy_2008_1,0.21885182872728426,173.0,347384.0,0.0,total,yeast
13,gao_2021_1,0.23922658883742076,6401.0,349633.0,0.0,total,yeast
14,ho_2018_DGD_1,0.07502460170210765,1903.0,349114.0,0.0,total,yeast
15,ho_2018_KUL_1,0.2169207135733727,2249.0,349114.0,0.0,total,yeast
16,ho_2018_LAHT_1,0.28721979194534714,2422.0,349114.0,0.0,total,yeast
17,ho_2018_LAW_1,0.32193531709247747,2595.0,349114.0,0.0,total,yeast
18,ho_2018_NAG_1,0.0675745760545469,3460.0,349114.0,0.0,total,yeast
19,ho_2018_PENG_1,0.11060460819292298,3806.0,349114.0,0.0,total,yeast
20,ho_2018_PIC_1,0.09730521135693174,3979.0,349114.0,0.0,total,yeast
21,ho_2018_THAK_1,0.10203640994898336,4152.0,349114.0,0.0,total,yeast
22,ho_2018_WEB_1,0.08074253386882807,4498.0,349114.0,0.0,total,yeast
23,kito_2016_glu_1,0.12819018914257774,9169.0,348768.0,0.0,total,yeast
24,kito_2016_glu_2,0.12536767865669599,9342.0,348768.0,0.0,total,yeast
25,kito_2016_glu_3,0.12359328413435428,9861.0,348768.0,0.0,total,yeast
26,kito_2016_gly_1,0.19046118449363575,9515.0,348768.0,0.0,total,yeast
27,kito_2016_gly_2,0.18757136264287988,9688.0,348768.0,0.0,total,yeast
28,kito_2016_gly_3,0.2008694774409507,10034.0,348768.0,0.0,total,yeast
29,morgenstein_2017_Glc_1,0.274489429333079,8131.0,348941.0,0.0,total,yeast
30,morgenstein_2017_Glc_2,0.29558379689774733,8304.0,348941.0,0.0,total,yeast
31,morgenstein_2017_Glc_3,0.30535614887093165,8477.0,348941.0,0.0,total,yeast
32,morgenstein_2017_Gly_1,0.39285039152556006,8650.0,348941.0,0.0,total,yeast
33,morgenstein_2017_Gly_2,0.4125334879252687,8823.0,348941.0,0.0,total,yeast
34,morgenstein_2017_Gly_3,0.41211849861414696,8996.0,348941.0,0.0,total,yeast
35,paulo_2015_Gal_1,0.10552925969782305,4844.0,348595.0,0.0,total,yeast
36,paulo_2015_Gal_2,0.10737465121337836,5017.0,348595.0,0.0,total,yeast
37,paulo_2015_Gal_3,0.10713495722110489,5190.0,348595.0,0.0,total,yeast
38,paulo_2015_Glu_1,0.11810643261856142,5363.0,348595.0,0.0,total,yeast
39,paulo_2015_Glu_2,0.11694962529895198,5536.0,348595.0,0.0,total,yeast
40,paulo_2015_Glu_3,0.11504351292565584,5709.0,348595.0,0.0,total,yeast
41,paulo_2015_Raf_1,0.16178676034456532,5882.0,348595.0,0.0,total,yeast
42,paulo_2015_Raf_2,0.1600125395687595,6055.0,348595.0,0.0,total,yeast
43,paulo_2015_Raf_3,0.15795624244237372,6228.0,348595.0,0.0,total,yeast
44,paulo_2016_acetate_1,0.1826660579474493,11418.0,348768.0,0.0,total,yeast
45,paulo_2016_fructose_1,0.08137219459164155,10726.0,348768.0,0.0,total,yeast
46,paulo_2016_glucose_1,0.07615224324176958,10207.0,348768.0,0.0,total,yeast
47,paulo_2016_glycerol_1,0.14448132555039872,11764.0,348768.0,0.0,total,yeast
48,paulo_2016_lactate_1,0.15190035757674658,11245.0,348768.0,0.0,total,yeast
49,paulo_2016_maltose_1,0.1664702805042676,10380.0,348768.0,0.0,total,yeast
50,paulo_2016_oleate_1,0.1570900278874134,10553.0,348768.0,0.0,total,yeast
51,paulo_2016_pryuvate_1,0.14136000807848542,11591.0,348768.0,0.0,total,yeast
52,paulo_2016_sucrose_1,0.07679799839240332,10899.0,348768.0,0.0,total,yeast
53,paulo_2016_trehalose_1,0.15744637633604988,11072.0,348768.0,0.0,total,yeast
