,variable,value,dataset_number,year,publication,estimate,organism
0,bartolomeo_2020_EtOH_1,0.13505523534193972,4756,234320,0.0,respiration,yeast
1,bartolomeo_2020_EtOH_2,0.1328233995824485,4872,234320,0.0,respiration,yeast
2,bartolomeo_2020_EtOH_3,0.13219774907907067,4988,234320,0.0,respiration,yeast
3,kito_2016_gly_1,0.08116417506274715,6380,233856,0.0,respiration,yeast
4,kito_2016_gly_2,0.08772733671903747,6496,233856,0.0,respiration,yeast
5,kito_2016_gly_3,0.09042374323789742,6728,233856,0.0,respiration,yeast
6,morgenstein_2017_Gly_1,0.17974575222960648,5800,233972,0.0,respiration,yeast
7,morgenstein_2017_Gly_2,0.1806828091782465,5916,233972,0.0,respiration,yeast
8,morgenstein_2017_Gly_3,0.17629686053447788,6032,233972,0.0,respiration,yeast
9,paulo_2016_acetate_1,0.11754979813796883,7656,233856,0.0,respiration,yeast
10,paulo_2016_glycerol_1,0.08035593640374154,7888,233856,0.0,respiration,yeast
11,paulo_2016_lactate_1,0.07762927032263131,7540,233856,0.0,respiration,yeast
12,paulo_2016_oleate_1,0.08732943894785884,7076,233856,0.0,respiration,yeast
13,paulo_2016_pryuvate_1,0.07569999793109353,7772,233856,0.0,respiration,yeast
