,variable,value,estimate,organism
0,geiger_2012_A549_1,0.0806075904528179,total,mammalian
1,geiger_2012_A549_2,0.08243414527392603,total,mammalian
2,geiger_2012_A549_3,0.07885712088770497,total,mammalian
3,geiger_2012_GAMG_1,0.08575128309928479,total,mammalian
4,geiger_2012_GAMG_2,0.08589533112663011,total,mammalian
5,geiger_2012_GAMG_3,0.08754983122564078,total,mammalian
6,geiger_2012_HEK293_1,0.07031987809256923,total,mammalian
7,geiger_2012_HEK293_2,0.06832825969834092,total,mammalian
8,geiger_2012_HEK293_3,0.07524456358075207,total,mammalian
9,geiger_2012_HeLa_1,0.07713824792201535,total,mammalian
10,geiger_2012_HeLa_2,0.08213743388526835,total,mammalian
11,geiger_2012_HeLa_3,0.07887494301695701,total,mammalian
12,geiger_2012_HepG2_1,0.08550936277126944,total,mammalian
13,geiger_2012_HepG2_2,0.09423119014687306,total,mammalian
14,geiger_2012_HepG2_3,0.09397484464816684,total,mammalian
15,geiger_2012_Jurkat_1,0.07934973554412897,total,mammalian
16,geiger_2012_Jurkat_2,0.08662965861948334,total,mammalian
17,geiger_2012_Jurkat_3,0.08764842514367821,total,mammalian
18,geiger_2012_K562_1,0.06858370074646031,total,mammalian
19,geiger_2012_K562_2,0.07045137628816073,total,mammalian
20,geiger_2012_K562_3,0.06169388688495172,total,mammalian
21,geiger_2012_LnCap_1,0.11763232761538991,total,mammalian
22,geiger_2012_LnCap_2,0.12187932043685487,total,mammalian
23,geiger_2012_LnCap_3,0.13511112426039468,total,mammalian
24,geiger_2012_MCF7_1,0.07223112205703931,total,mammalian
25,geiger_2012_MCF7_2,0.0772757334411574,total,mammalian
26,geiger_2012_MCF7_3,0.08455711706772845,total,mammalian
27,geiger_2012_RKO_1,0.08713799858728946,total,mammalian
28,geiger_2012_RKO_2,0.08878447318837324,total,mammalian
29,geiger_2012_RKO_3,0.07657974502921398,total,mammalian
30,geiger_2012_U2OS_1,0.07062006724777592,total,mammalian
31,geiger_2012_U2OS_2,0.0717879676868919,total,mammalian
32,geiger_2012_U2OS_3,0.07290139361333169,total,mammalian
