,variable,value
0,geiger_2012_A549_1,0.14112836062408324
1,geiger_2012_A549_2,0.14381135777186074
2,geiger_2012_A549_3,0.1427168638754997
3,geiger_2012_GAMG_1,0.13644440709192257
4,geiger_2012_GAMG_2,0.13733111641171347
5,geiger_2012_GAMG_3,0.1374495575314344
6,geiger_2012_HEK293_1,0.12921449160415033
7,geiger_2012_HEK293_2,0.12669703736611923
8,geiger_2012_HEK293_3,0.13447843729597295
9,geiger_2012_HeLa_1,0.14816256954195836
10,geiger_2012_HeLa_2,0.14768567457062287
11,geiger_2012_HeLa_3,0.15044421780623007
12,geiger_2012_HepG2_1,0.19062410004248828
13,geiger_2012_HepG2_2,0.19405366258670653
14,geiger_2012_HepG2_3,0.20879685022523167
15,geiger_2012_Jurkat_1,0.13602442724469183
16,geiger_2012_Jurkat_2,0.13654659502707261
17,geiger_2012_Jurkat_3,0.14187082046198085
18,geiger_2012_K562_1,0.13361280178200388
19,geiger_2012_K562_2,0.13054816248373882
20,geiger_2012_K562_3,0.1541206535708858
21,geiger_2012_LnCap_1,0.25113844619484155
22,geiger_2012_LnCap_2,0.2538305866043797
23,geiger_2012_LnCap_3,0.2663201359893026
24,geiger_2012_MCF7_1,0.14135297979559822
25,geiger_2012_MCF7_2,0.14614919201305682
26,geiger_2012_MCF7_3,0.1526690359932875
27,geiger_2012_RKO_1,0.16902190155639785
28,geiger_2012_RKO_2,0.1668819224688431
29,geiger_2012_RKO_3,0.17603460280125738
30,geiger_2012_U2OS_1,0.11969124359338915
31,geiger_2012_U2OS_2,0.11804710565231435
32,geiger_2012_U2OS_3,0.12236878480550241
