,variable,value,estimate,organism
0,geiger_2012_A549_1,0.10242322985764171,total,mammalian
1,geiger_2012_A549_2,0.10452425046755295,total,mammalian
2,geiger_2012_A549_3,0.09609002185027711,total,mammalian
3,geiger_2012_GAMG_1,0.10289594965526173,total,mammalian
4,geiger_2012_GAMG_2,0.10260287145358998,total,mammalian
5,geiger_2012_GAMG_3,0.1039103342249301,total,mammalian
6,geiger_2012_HEK293_1,0.09474614877529254,total,mammalian
7,geiger_2012_HEK293_2,0.09165891811371196,total,mammalian
8,geiger_2012_HEK293_3,0.09917029432987769,total,mammalian
9,geiger_2012_HeLa_1,0.1066384139543536,total,mammalian
10,geiger_2012_HeLa_2,0.11004513482601425,total,mammalian
11,geiger_2012_HeLa_3,0.10597234328587166,total,mammalian
12,geiger_2012_HepG2_1,0.12801433581619465,total,mammalian
13,geiger_2012_HepG2_2,0.13183825374790545,total,mammalian
14,geiger_2012_HepG2_3,0.14392156787312826,total,mammalian
15,geiger_2012_Jurkat_1,0.10657965444552829,total,mammalian
16,geiger_2012_Jurkat_2,0.11124168321522448,total,mammalian
17,geiger_2012_Jurkat_3,0.11307595726473266,total,mammalian
18,geiger_2012_K562_1,0.09419328983649444,total,mammalian
19,geiger_2012_K562_2,0.09408019777659739,total,mammalian
20,geiger_2012_K562_3,0.09599345688596972,total,mammalian
21,geiger_2012_LnCap_1,0.2147856617035691,total,mammalian
22,geiger_2012_LnCap_2,0.2169260046054236,total,mammalian
23,geiger_2012_LnCap_3,0.23550082352143134,total,mammalian
24,geiger_2012_MCF7_1,0.10235397020841489,total,mammalian
25,geiger_2012_MCF7_2,0.10776587728095904,total,mammalian
26,geiger_2012_MCF7_3,0.1174346682951029,total,mammalian
27,geiger_2012_RKO_1,0.1298204256757119,total,mammalian
28,geiger_2012_RKO_2,0.13012834790529437,total,mammalian
29,geiger_2012_RKO_3,0.11828799459182465,total,mammalian
30,geiger_2012_U2OS_1,0.08955439385847269,total,mammalian
31,geiger_2012_U2OS_2,0.08899620395125438,total,mammalian
32,geiger_2012_U2OS_3,0.09347251797168044,total,mammalian
