,variable,value,estimate,organism
0,geiger_2012_A549_1,0.04606836354895537,fermentation,mammalian
1,geiger_2012_A549_2,0.04800340166657708,fermentation,mammalian
2,geiger_2012_A549_3,0.049134842703712156,fermentation,mammalian
3,geiger_2012_GAMG_1,0.05343918816291685,fermentation,mammalian
4,geiger_2012_GAMG_2,0.054122649961650046,fermentation,mammalian
5,geiger_2012_GAMG_3,0.0547194977171732,fermentation,mammalian
6,geiger_2012_HEK293_1,0.039469528513448565,fermentation,mammalian
7,geiger_2012_HEK293_2,0.03856656629609766,fermentation,mammalian
8,geiger_2012_HEK293_3,0.04271012419187687,fermentation,mammalian
9,geiger_2012_HeLa_1,0.043580994126550934,fermentation,mammalian
10,geiger_2012_HeLa_2,0.0466645304071397,fermentation,mammalian
11,geiger_2012_HeLa_3,0.04422513191749232,fermentation,mammalian
12,geiger_2012_HepG2_1,0.03136805755802708,fermentation,mammalian
13,geiger_2012_HepG2_2,0.036503631853074314,fermentation,mammalian
14,geiger_2012_HepG2_3,0.03605707580921161,fermentation,mammalian
15,geiger_2012_Jurkat_1,0.04285281074082646,fermentation,mammalian
16,geiger_2012_Jurkat_2,0.05244862095605987,fermentation,mammalian
17,geiger_2012_Jurkat_3,0.051286075527744474,fermentation,mammalian
18,geiger_2012_K562_1,0.03449468921275288,fermentation,mammalian
19,geiger_2012_K562_2,0.03826881191019143,fermentation,mammalian
20,geiger_2012_K562_3,0.02514264299429459,fermentation,mammalian
21,geiger_2012_LnCap_1,0.03671829743923619,fermentation,mammalian
22,geiger_2012_LnCap_2,0.04117478498581934,fermentation,mammalian
23,geiger_2012_LnCap_3,0.04474452416207275,fermentation,mammalian
24,geiger_2012_MCF7_1,0.03541714719414522,fermentation,mammalian
25,geiger_2012_MCF7_2,0.03877615102229011,fermentation,mammalian
26,geiger_2012_MCF7_3,0.04431377497774545,fermentation,mammalian
27,geiger_2012_RKO_1,0.046786258960685445,fermentation,mammalian
28,geiger_2012_RKO_2,0.0484264721189855,fermentation,mammalian
29,geiger_2012_RKO_3,0.03848171724461045,fermentation,mammalian
30,geiger_2012_U2OS_1,0.04554890331093015,fermentation,mammalian
31,geiger_2012_U2OS_2,0.0473787242937772,fermentation,mammalian
32,geiger_2012_U2OS_3,0.046473941257954884,fermentation,mammalian
