,variable,value,estimate,organism
0,geiger_2012_A549_1,0.034539226903862526,respiration,mammalian
1,geiger_2012_A549_2,0.03443074360734896,respiration,mammalian
2,geiger_2012_A549_3,0.02972227818399281,respiration,mammalian
3,geiger_2012_GAMG_1,0.03231209493636794,respiration,mammalian
4,geiger_2012_GAMG_2,0.031772681164980075,respiration,mammalian
5,geiger_2012_GAMG_3,0.032830333508467584,respiration,mammalian
6,geiger_2012_HEK293_1,0.03085034957912067,respiration,mammalian
7,geiger_2012_HEK293_2,0.029761693402243265,respiration,mammalian
8,geiger_2012_HEK293_3,0.032534439388875194,respiration,mammalian
9,geiger_2012_HeLa_1,0.03355725379546441,respiration,mammalian
10,geiger_2012_HeLa_2,0.035472903478128655,respiration,mammalian
11,geiger_2012_HeLa_3,0.03464981109946469,respiration,mammalian
12,geiger_2012_HepG2_1,0.05414130521324237,respiration,mammalian
13,geiger_2012_HepG2_2,0.057727558293798754,respiration,mammalian
14,geiger_2012_HepG2_3,0.05791776883895523,respiration,mammalian
15,geiger_2012_Jurkat_1,0.03649692480330251,respiration,mammalian
16,geiger_2012_Jurkat_2,0.034181037663423466,respiration,mammalian
17,geiger_2012_Jurkat_3,0.036362349615933744,respiration,mammalian
18,geiger_2012_K562_1,0.034089011533707435,respiration,mammalian
19,geiger_2012_K562_2,0.03218256437796929,respiration,mammalian
20,geiger_2012_K562_3,0.03655124389065713,respiration,mammalian
21,geiger_2012_LnCap_1,0.08091403017615373,respiration,mammalian
22,geiger_2012_LnCap_2,0.08070453545103552,respiration,mammalian
23,geiger_2012_LnCap_3,0.09036660009832194,respiration,mammalian
24,geiger_2012_MCF7_1,0.036813974862894096,respiration,mammalian
25,geiger_2012_MCF7_2,0.038499582418867286,respiration,mammalian
26,geiger_2012_MCF7_3,0.040243342089982995,respiration,mammalian
27,geiger_2012_RKO_1,0.04035173962660401,respiration,mammalian
28,geiger_2012_RKO_2,0.04035800106938773,respiration,mammalian
29,geiger_2012_RKO_3,0.038098027784603535,respiration,mammalian
30,geiger_2012_U2OS_1,0.02507116393684576,respiration,mammalian
31,geiger_2012_U2OS_2,0.024409243393114694,respiration,mammalian
32,geiger_2012_U2OS_3,0.026427452355376805,respiration,mammalian
