,variable,value,estimate,organism
0,geiger_2012_A549_1,0.09505999707512786,respiration,mammalian
1,geiger_2012_A549_2,0.09580795610528366,respiration,mammalian
2,geiger_2012_A549_3,0.09358202117178753,respiration,mammalian
3,geiger_2012_GAMG_1,0.08300521892900573,respiration,mammalian
4,geiger_2012_GAMG_2,0.08320846645006341,respiration,mammalian
5,geiger_2012_GAMG_3,0.0827300598142612,respiration,mammalian
6,geiger_2012_HEK293_1,0.08974496309070178,respiration,mammalian
7,geiger_2012_HEK293_2,0.08813047107002157,respiration,mammalian
8,geiger_2012_HEK293_3,0.09176831310409607,respiration,mammalian
9,geiger_2012_HeLa_1,0.10458157541540743,respiration,mammalian
10,geiger_2012_HeLa_2,0.10102114416348316,respiration,mammalian
11,geiger_2012_HeLa_3,0.10621908588873774,respiration,mammalian
12,geiger_2012_HepG2_1,0.1592560424844612,respiration,mammalian
13,geiger_2012_HepG2_2,0.15755003073363222,respiration,mammalian
14,geiger_2012_HepG2_3,0.17273977441602006,respiration,mammalian
15,geiger_2012_Jurkat_1,0.09317161650386535,respiration,mammalian
16,geiger_2012_Jurkat_2,0.08409797407101276,respiration,mammalian
17,geiger_2012_Jurkat_3,0.09058474493423639,respiration,mammalian
18,geiger_2012_K562_1,0.099118112569251,respiration,mammalian
19,geiger_2012_K562_2,0.09227935057354739,respiration,mammalian
20,geiger_2012_K562_3,0.12897801057659122,respiration,mammalian
21,geiger_2012_LnCap_1,0.21442014875560536,respiration,mammalian
22,geiger_2012_LnCap_2,0.21265580161856035,respiration,mammalian
23,geiger_2012_LnCap_3,0.22157561182722987,respiration,mammalian
24,geiger_2012_MCF7_1,0.105935832601453,respiration,mammalian
25,geiger_2012_MCF7_2,0.1073730409907667,respiration,mammalian
26,geiger_2012_MCF7_3,0.10835526101554203,respiration,mammalian
27,geiger_2012_RKO_1,0.1222356425957124,respiration,mammalian
28,geiger_2012_RKO_2,0.11845545034985759,respiration,mammalian
29,geiger_2012_RKO_3,0.13755288555664694,respiration,mammalian
30,geiger_2012_U2OS_1,0.07414234028245899,respiration,mammalian
31,geiger_2012_U2OS_2,0.07066838135853715,respiration,mammalian
32,geiger_2012_U2OS_3,0.07589484354754752,respiration,mammalian
