,variable,value,estimate,organism
0,geiger_2012_A549_1,0.05970017096215463,respiration,mammalian
1,geiger_2012_A549_2,0.05985970338433719,respiration,mammalian
2,geiger_2012_A549_3,0.04969856519377529,respiration,mammalian
3,geiger_2012_GAMG_1,0.053566071610888236,respiration,mammalian
4,geiger_2012_GAMG_2,0.052537322085535965,respiration,mammalian
5,geiger_2012_GAMG_3,0.053626144617674426,respiration,mammalian
6,geiger_2012_HEK293_1,0.05837902043266781,respiration,mammalian
7,geiger_2012_HEK293_2,0.05637639031452089,respiration,mammalian
8,geiger_2012_HEK293_3,0.05997355632004054,respiration,mammalian
9,geiger_2012_HeLa_1,0.06437907369454426,respiration,mammalian
10,geiger_2012_HeLa_2,0.06404437414034331,respiration,mammalian
11,geiger_2012_HeLa_3,0.0639296474689699,respiration,mammalian
12,geiger_2012_HepG2_1,0.10899507650005563,respiration,mammalian
13,geiger_2012_HepG2_2,0.10942547687757717,respiration,mammalian
14,geiger_2012_HepG2_3,0.12066619060426959,respiration,mammalian
15,geiger_2012_Jurkat_1,0.06701159487995319,respiration,mammalian
16,geiger_2012_Jurkat_2,0.06210198514477932,respiration,mammalian
17,geiger_2012_Jurkat_3,0.06585620505839557,respiration,mammalian
18,geiger_2012_K562_1,0.061795805843679066,respiration,mammalian
19,geiger_2012_K562_2,0.05743915886948451,respiration,mammalian
20,geiger_2012_K562_3,0.07147182668703357,respiration,mammalian
21,geiger_2012_LnCap_1,0.18230070018731215,respiration,mammalian
22,geiger_2012_LnCap_2,0.17905901329666174,respiration,mammalian
23,geiger_2012_LnCap_3,0.19488221458718705,respiration,mammalian
24,geiger_2012_MCF7_1,0.06929095627859115,respiration,mammalian
25,geiger_2012_MCF7_2,0.07117712002986426,respiration,mammalian
26,geiger_2012_MCF7_3,0.07512997369932366,respiration,mammalian
27,geiger_2012_RKO_1,0.08638371630726703,respiration,mammalian
28,geiger_2012_RKO_2,0.08518365100085268,respiration,mammalian
29,geiger_2012_RKO_3,0.08419195566705934,respiration,mammalian
30,geiger_2012_U2OS_1,0.04723709155457808,respiration,mammalian
31,geiger_2012_U2OS_2,0.04501596964439112,respiration,mammalian
32,geiger_2012_U2OS_3,0.050441608797193685,respiration,mammalian
