author ,title ,organism ,carbon substrate,method,additonal media notes,measurement,cell type,original value ,units ,notes on conversion ,production / consumption  (mmol gprotein-1 hr-1),glucose uptake rate  (mmol gprotein-1 hr-1),pathway
Holm et al. 2009,Metabolic and Transcriptional Response to Cofactor Perturbations in Escherichia coli,ecoli,glucose,aerobic batch with ATPase ,MOPS medium (14) supplemented with 0.1% glucose and 200 g/ml erythromycin,acetate,MG1655 transformed with pCP41::atpAGD,16.69,mmol/g DCW h,assuming .55 pg gcdw is protein,30.34545455,15.17272727,Fermentation
Boecker et al. 2021,Deciphering the physiological response of Escherichia coli under high ATP demand,ecoli,glucose,aerobic batch with ATPase ,"For aerobic cultivation, cells were diluted 1:500 into chemically defined medium (MM: 4 g/l glucose, 34 mM NaH2PO4, 64 mM K2HPO4, 20 mM (NH4)2SO4, 1 μM Fe(SO4)4, 300 μM MgSO4, 1 μM ZnCl2, 10 μM CaCl2, adapted from (Tanaka et al, 1967)), containing 0.01 mM of IPTG (except for “WT”) and cultivated at 37°C and 250 rpm overnight. The cells were centrifuged at 5,000 g, washed, and used to inoculate 25 ml of fresh MM (containing 0.01 mM IPTG, except for “WT”) to an optical density at 420 nm (OD420) of 0.2 (0.4 for the HC ATPase strain). The cells were cultivated in 250-ml shake flasks with three baffles at 37°C and 250 rpm.",acetate,E. coli MC ATPase,12.1,mmol/g DCW h,assuming .55 pg gcdw is protein,22,11,Fermentation
Basan et al. 2015,Overflow metabolism in Escherichia coli results from efficient proteome allocation,ecoli,glucose 6-phosphate,aerobic batch (highest observed growth rate),"20 mM Glucose 6-phosphate disodium, Histidine (0.2 mM), Isoleucine (0.4 mM), Leucine (0.8 mM), Lysine (0.4 mM), Methionine (0.2 mM), Phenylalanine (0.4 mM), and Valine (0.6 mM), Growth rate l (h-1) = 1.26  The base medium contains 40 mM MOPS and 4 mM tricine (adjusted to pH 7.4 with KOH) - 0.1 M NaCl -  10 mM NH4Cl -  1.32 mM KH2PO4 -  0.523 mM MgCl2 -  0.276 mM Na2SO4 -  0.1 mM FeSO4 and the trace micronutrients described previously",acetate,E. coli NCM3722 strain,4.18,mM/OD600/h,,27.93414044,13.96707022,Fermentation
Basan et al. 2015,Overflow metabolism in Escherichia coli results from efficient proteome allocation,ecoli,glucose,aerobic batch (highest observed growth rate),The base medium contains 40 mM MOPS and 4 mM tricine (adjusted to pH 7.4 with KOH) - 0.1 M NaCl -  10 mM NH4Cl -  1.32 mM KH2PO4 -  0.523 mM MgCl2 -  0.276 mM Na2SO4 -  0.1 mM FeSO4 and the trace micronutrients described previously,acetate,E. coli NCM3722,4.13,mM/OD600/h,,27.6,13.8,Fermentation
Shiloach et al. 1995,"Effect of Glucose Supply Strategy on Acetate Accumulation  Growth and Recombinant Protein Production by Escherichia coli BL21 (hDE3) and Escherichia coli JM 109""",ecoli,glucose,aerobic batch (max observed rate),"Modified LB medium was used for high density fermentation experiments. A liquid broth containing 10 g/L tryptone 5 g/L yeast extract (15 g/L for JM109) 5 g/L NaC1, and 5 g/L K2HP04 was heat sterilized.",acetate,E. coli BL21,0.31,g/hr/OD600,,34.49794682,17.24897341,Fermentation
Paalme et al. 1997,The growth rate control in Escherichia coli at near to maximum growth rates: the A-stat approach,ecoli,glycerol ,max observed rate,The mineral composition of the starting medium and the feeding medium for continuous cultivation of bacteria on different carbon sources (Table 1) ,O2,E. coli,15,mmol / g of dry weight / hr,assuming .55 gcdw is protein,27.27272727,4.545454545,Respiration
Paalme et al. 1997,The growth rate control in Escherichia coli at near to maximum growth rates: the A-stat approach,ecoli,lactate,max observed rate,The mineral composition of the starting medium and the feeding medium for continuous cultivation of bacteria on different carbon sources (Table 1) ,O2,E. coli,14,mmol / g of dry weight / hr,assuming .55 gcdw is protein,25.45454545,4.242424242,Respiration
Paalme et al. 1997,The growth rate control in Escherichia coli at near to maximum growth rates: the A-stat approach,ecoli,succinate ,max observed rate,The mineral composition of the starting medium and the feeding medium for continuous cultivation of bacteria on different carbon sources (Table 1) ,O2,E. coli,17,mmol / g of dry weight / hr,assuming .55 gcdw is protein,30.90909091,5.151515152,Respiration
Paalme et al. 1997,The growth rate control in Escherichia coli at near to maximum growth rates: the A-stat approach,ecoli,acetate,max observed rate,The mineral composition of the starting medium and the feeding medium for continuous cultivation of bacteria on different carbon sources (Table 1) ,O2,E. coli,16,mmol / g of dry weight / hr,assuming .55 gcdw is protein,29.09090909,4.848484848,Respiration
Paalme et al. 1997,The growth rate control in Escherichia coli at near to maximum growth rates: the A-stat approach,ecoli,succinate + acetate,max observed rate,The mineral composition of the starting medium and the feeding medium for continuous cultivation of bacteria on different carbon sources (Table 1) ,O2,E. coli,16,mmol / g of dry weight / hr,assuming .55 gcdw is protein,29.09090909,4.848484848,Respiration
