Author,Title ,Organism,Nutrient limitation,Growth Rate,Oxygen Consumption,Oxygen Consumption Original Units,Carbon Dioxide,Carbon Dioxide Production Original Units,Acetate Production,Acetate Production Original Units,Notes,Oxygen Consumption (mmol gprotein-1 hr-1),Acetate Production (mmol gprotein-1 hr-1),Glucose Consumption (mmol gprotein-1 hr-1),
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3110,ecoli,Carbon,0.197394432,7.829221855,mmol gCDW-1 hr-1,NA,NA,0,mmol gCDW-1 hr-1,0.55 protein of gCDW,14.23494883,0,2.372491472,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3111,ecoli,Carbon,0.2542245,9.372583356,mmol gCDW-1 hr-1,NA,NA,0,mmol gCDW-1 hr-1,0.55 protein of gCDW,17.04106065,0,2.840176775,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3112,ecoli,Carbon,0.275555608,9.998413389,mmol gCDW-1 hr-1,NA,NA,0,mmol gCDW-1 hr-1,0.55 protein of gCDW,18.17893343,0,3.029822238,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3113,ecoli,Carbon,0.357401248,10.91206647,mmol gCDW-1 hr-1,NA,NA,0,mmol gCDW-1 hr-1,0.55 protein of gCDW,19.84012085,0,3.306686808,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3114,ecoli,Carbon,0.395938275,12.37327676,mmol gCDW-1 hr-1,NA,NA,0,mmol gCDW-1 hr-1,0.55 protein of gCDW,22.49686684,0,3.749477807,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3115,ecoli,Carbon,0.454037632,16.92908435,mmol gCDW-1 hr-1,NA,NA,0.402352886,mmol gCDW-1 hr-1,0.55 protein of gCDW,30.78015336,0.731550702,5.373875794,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3116,ecoli,Carbon,0.506295909,14.28872801,mmol gCDW-1 hr-1,NA,NA,1.235970242,mmol gCDW-1 hr-1,0.55 protein of gCDW,25.97950547,2.247218622,5.078990452,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3117,ecoli,Carbon,0.505696522,12.86618402,mmol gCDW-1 hr-1,NA,NA,0.356164867,mmol gCDW-1 hr-1,0.55 protein of gCDW,23.39306185,0.647572485,4.114701137,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3118,ecoli,Carbon,0.625938157,14.90633117,mmol gCDW-1 hr-1,NA,NA,1.182730617,mmol gCDW-1 hr-1,0.55 protein of gCDW,27.10242031,2.150419304,5.233876486,
Varma et al. 1994,Stoichiometric Flux Balance Models Quantitatively Predict Growth and Metabolic By-Product Secretion in Wild-Type Escherichia coli W3119,ecoli,Carbon,0.699533419,16.2390847,mmol gCDW-1 hr-1,NA,NA,4.063781776,mmol gCDW-1 hr-1,0.55 protein of gCDW,29.52560855,7.388694138,7.383832804,
