,variable,pathway,value
0,Acetate,atp,0.015576161501540006
1,Acetate,etc,0.005082369439794009
2,Acetate,pyruvate,0.0049950611112709615
3,Acetate,tca,0.15808771094124247
4,Fumarate,atp,0.02126108273552563
5,Fumarate,etc,0.006525577119668425
6,Fumarate,pyruvate,0.00802258789167804
7,Fumarate,tca,0.09252738939903628
8,Glycerol,atp,0.022395517868461567
9,Glycerol,etc,0.006642492620804143
10,Glycerol,pyruvate,0.007144407621178777
11,Glycerol,tca,0.06562297788602883
12,Glycerol + AA,atp,0.02828002325568045
13,Glycerol + AA,etc,0.008172173445642694
14,Glycerol + AA,pyruvate,0.008489845892415361
15,Glycerol + AA,tca,0.05644316274773619
16,Pyruvate,atp,0.02681431854210548
17,Pyruvate,etc,0.007426076298127889
18,Pyruvate,pyruvate,0.02524461747066055
19,Pyruvate,tca,0.09828836210248049
20,Succinate,atp,0.023454017776929938
21,Succinate,etc,0.006291416794991948
22,Succinate,pyruvate,0.008509011254352347
23,Succinate,tca,0.08824853404855108
