,Gene name,mean,sem
0,aceA,0.024338475117204727,0.007957219291827694
32,mdh,0.013447909986831158,0.0013392822415896571
11,atpD,0.010221677723945076,0.0008532085288711805
8,atpA,0.007726100859125045,0.0006020416034199483
5,acnB,0.007381835545332825,0.0009693487194731459
29,icd,0.006095116140034183,0.0003054218662064731
28,gltA,0.005354846377653533,0.0009616189610936746
2,aceE,0.004719210372508493,0.001585611422696696
3,aceF,0.004446057634207864,0.00143939445144835
53,sucC,0.0029754296336100155,0.0003396428086627331
1,aceB,0.002685559729851642,0.0008013650152155841
54,sucD,0.002399878591341974,0.00032231538140165575
52,sucB,0.0016890785787527236,0.0001867734548289371
51,sucA,0.001659414035270399,0.00016890912053784229
47,sdhA,0.0013647426668071472,0.0001658761592614508
10,atpC,0.001362116427734452,0.00010382800238628125
13,atpF,0.001296829130710494,0.00011873814898613295
15,atpH,0.0012484251502073195,9.619239260755366e-05
24,fumA,0.0010664912701540187,0.00011174707038600788
39,nuoG,0.0010512334712191476,6.128201597581151e-05
30,lpdA,0.0009826831394405134,9.424580774695753e-05
19,cyoA,0.0007733417290678902,9.810202190493752e-05
36,nuoC,0.0007030545555379233,6.257265720181853e-05
20,cyoB,0.0006750634940613729,7.834298348726028e-05
48,sdhB,0.0006298996310525741,8.176467949122575e-05
14,atpG,0.0005962246497368406,4.5827444301132154e-05
9,atpB,0.0004928633275224169,8.298038335964504e-05
4,acnA,0.00047770288008505435,8.315752097025418e-05
44,nuoL,0.00046811426603584407,4.101111719595917e-05
45,nuoM,0.0003982684440783299,3.4891980485589456e-05
27,glcB,0.00036918682274785544,0.00012739906605818165
46,nuoN,0.00036669584968797173,3.212593069247266e-05
21,cyoC,0.0003532484753092648,4.3667488613787764e-05
38,nuoF,0.0003020835632060282,2.6488093913821836e-05
26,gabD,0.000274794166589216,1.5730355838142582e-05
40,nuoH,0.0002551947771087666,2.235741072459203e-05
23,eda,0.00025323025946939244,9.94174278712367e-06
37,nuoE,0.00020003898770037444,2.1876641482765028e-05
16,cydA,0.0001960952750149327,1.0006530560173608e-05
25,fumC,0.0001891965982320126,2.3059710557037834e-05
22,cyoD,0.0001878276934754518,2.3218681012034346e-05
31,maeA,0.00016117599816780292,9.41584043252751e-06
33,ndh,0.00015314104267526144,1.8019595542158304e-05
17,cydB,0.00014302607525485677,7.298466486917797e-06
42,nuoJ,0.0001400368921018453,1.2268520338807434e-05
49,sdhC,0.00011418533113196582,1.2325747378243535e-05
34,nuoA,8.468422885329468e-05,1.0887942152919069e-05
35,nuoB,8.420770399485501e-05,1.0246196205436445e-05
43,nuoK,7.641258338840315e-05,6.694445437703984e-06
41,nuoI,6.451615211533833e-05,6.029827516206645e-06
12,atpE,1.928301105886771e-05,2.1747567809394534e-06
18,cydX,1.3617680639298309e-05,6.94895567807263e-07
50,sdhD,2.1349549889519914e-06,2.104494864467002e-07
7,appC,1.1467931173262939e-07,2.123429392667578e-08
6,appB,,
