,Variable,MW,Value,condition,growth_rate,rep
0,cycloheximide_015_1,3992783.5999999996,0.16725849100722906,cycloheximide,15,1
1,cycloheximide_015_2,3992783.5999999996,0.17571814660453816,cycloheximide,15,2
2,cycloheximide_015_3,3992783.5999999996,0.16532656122631764,cycloheximide,15,3
3,cycloheximide_015_4,3992783.5999999996,0.1726787884891853,cycloheximide,15,4
4,cycloheximide_025_1,4074680.8,0.1741343546986372,cycloheximide,25,1
5,cycloheximide_025_2,4074680.8,0.18327559935894933,cycloheximide,25,2
6,cycloheximide_025_3,4074680.8,0.1757184219772168,cycloheximide,25,3
7,cycloheximide_025_4,4074680.8,0.18776812032125795,cycloheximide,25,4
8,cycloheximide_033_1,4159404.6999999993,0.20072102876865078,cycloheximide,33,1
9,cycloheximide_033_2,4159404.6999999993,0.2104061650034465,cycloheximide,33,2
10,cycloheximide_033_3,4159404.6999999993,0.19589550782329668,cycloheximide,33,3
11,cycloheximide_033_4,4159404.6999999993,0.20144531438415586,cycloheximide,33,4
12,cycloheximide_037_1,4018448.6,0.2194676481588552,cycloheximide,37,1
13,cycloheximide_037_2,4018448.6,0.2289106218853749,cycloheximide,37,2
14,cycloheximide_037_3,4018448.6,0.22889658022876613,cycloheximide,37,3
15,cycloheximide_037_4,4018448.6,0.21674704080583362,cycloheximide,37,4
16,galactose_017_1,4620871.3,0.21597709236182108,galactose,17,1
17,galactose_017_2,4620871.3,0.21602174484133918,galactose,17,2
18,galactose_017_3,4620871.3,0.2161607733054647,galactose,17,3
19,galactose_017_4,4620871.3,0.21928875432509487,galactose,17,4
20,glucose_020_1,4893233.999999998,0.27428722833411195,glucose,20,1
21,glucose_020_2,4893233.999999998,0.27254528176801246,glucose,20,2
22,glucose_020_3,4893233.999999998,0.2750815075182663,glucose,20,3
23,glucose_020_4,4893233.999999998,0.270981331423604,glucose,20,4
24,glucose_023_1,4836206.099999999,0.2640294767062938,glucose,23,1
25,glucose_023_2,4836206.099999999,0.2624983122467049,glucose,23,2
26,glucose_023_3,4836206.099999999,0.2622305801627944,glucose,23,3
27,glucose_023_4,4836206.099999999,0.259182534029024,glucose,23,4
28,glucose_027_1,4718876.8999999985,0.2576713228788256,glucose,27,1
29,glucose_027_2,4718876.8999999985,0.25650664828202835,glucose,27,2
30,glucose_027_3,4718876.8999999985,0.2565644509678914,glucose,27,3
31,glucose_027_4,4718876.8999999985,0.2574355577792117,glucose,27,4
32,glucose_030_1,4721590.199999997,0.2522456127692998,glucose,30,1
33,glucose_030_2,4721590.199999997,0.24817930633396518,glucose,30,2
34,glucose_030_3,4721590.199999997,0.25065159782862756,glucose,30,3
35,glucose_030_4,4721590.199999997,0.24738459358046933,glucose,30,4
36,glucose_030_5,4641554.699999998,0.25018096875854273,glucose,30,5
37,glucose_030_6,4641554.699999998,0.24710066149529913,glucose,30,6
38,glucose_030_7,4641554.699999998,0.2539003052682444,glucose,30,7
39,glucose_030_8,4641554.699999998,0.250778474247042,glucose,30,8
40,glucose_032_1,4745410.799999998,0.24314125701232184,glucose,32,1
41,glucose_032_2,4745410.799999998,0.24076953028750134,glucose,32,2
42,glucose_032_3,4745410.799999998,0.24473789333177254,glucose,32,3
43,glucose_032_4,4745410.799999998,0.23916161626355573,glucose,32,4
44,glucose_034_1,4841892.499999999,0.2380183863287224,glucose,34,1
45,glucose_034_2,4841892.499999999,0.23561947322113203,glucose,34,2
46,glucose_034_3,4841892.499999999,0.23745920641826676,glucose,34,3
47,glucose_034_4,4841892.499999999,0.23340715210318522,glucose,34,4
48,glucose_037_1,4050914.3999999994,0.25488472466841194,glucose,37,1
49,glucose_037_2,4050914.3999999994,0.2593135466089591,glucose,37,2
50,glucose_037_3,4050914.3999999994,0.25533582958903805,glucose,37,3
51,glucose_037_4,4050914.3999999994,0.2624024082470137,glucose,37,4
52,maltose_028_1,3955681.2999999993,0.24711593975512516,maltose,28,1
53,maltose_028_2,3955681.2999999993,0.24558430865581354,maltose,28,2
54,maltose_028_3,3955681.2999999993,0.24192829257044135,maltose,28,3
55,maltose_028_4,3955681.2999999993,0.245326296856097,maltose,28,4
56,trehalose_005_1,4848899.1,0.31087831288407947,trehalose,5,1
57,trehalose_005_2,4848899.1,0.3115339715573859,trehalose,5,2
58,trehalose_005_3,4848899.1,0.3056250586494344,trehalose,5,3
59,trehalose_005_4,4848899.1,0.30797896828381816,trehalose,5,4
60,trehalose_005_5,4712241.8999999985,0.3069479996788541,trehalose,5,5
61,trehalose_005_6,4712241.8999999985,0.3080907817529304,trehalose,5,6
62,trehalose_005_7,4712241.8999999985,0.30540026630357486,trehalose,5,7
63,trehalose_005_8,4712241.8999999985,0.30626931994722323,trehalose,5,8
