variable,growth,qGlu,qO2,qEth
cycloheximide_015_1,0.121,-4.94,-1.8,5.9
cycloheximide_015_2,0.106,-4.23,-1.6,4.7
cycloheximide_015_3,0.121,-4.94,-1.8,5.9
cycloheximide_015_4,0.106,-4.23,-1.6,4.7
cycloheximide_025_1,0.2,-6.93,-1.8,9.2
cycloheximide_025_2,0.201,-6.91,-1.8,9.2
cycloheximide_025_3,0.2,-6.93,-1.8,9.2
cycloheximide_025_4,0.201,-6.91,-1.8,9.2
cycloheximide_033_1,0.327,-11.95,-2.3,16.8
cycloheximide_033_2,0.318,-11.01,-2.2,15.3
cycloheximide_033_3,0.327,-11.95,-2.3,16.8
cycloheximide_033_4,0.318,-11.01,-2.2,15.3
cycloheximide_037_1,0.421,-14.48,-2.2,20.3
cycloheximide_037_2,0.399,-13.8,-2.1,19.3
cycloheximide_037_3,0.421,-14.48,-2.2,20.3
cycloheximide_037_4,0.399,-13.8,-2.1,19.3
galactose_017_1,0.165,-2.49,-5.1,0.8
galactose_017_2,0.182,-2.77,-5.4,0.7
galactose_017_3,0.165,-2.49,-5.1,0.8
galactose_017_4,0.182,-2.77,-5.4,0.7
glucose_020_1,0.1957,-2.126,-5.3302,0
glucose_020_2,0.2024,-2.2491,-5.4994,0
glucose_020_3,0.1957,-2.126,-5.3302,0
glucose_020_4,0.2024,-2.2491,-5.4994,0
glucose_023_1,0.229,-2.5538,-5.9978,0
glucose_023_2,0.225,-2.5098,-5.9288,0
glucose_023_3,0.229,-2.5538,-5.9978,0
glucose_023_4,0.225,-2.5098,-5.9288,0
glucose_027_1,0.268,-3.1615,-7.2265,0
glucose_027_2,0.273,-3.198,-8.1621,0
glucose_027_3,0.268,-3.1615,-7.2265,0
glucose_027_4,0.273,-3.198,-8.1621,0
glucose_030_1,0.303,-4.1171,-9.2672,1.1659
glucose_030_2,0.302,-4.2656,-8.9617,1.9061
glucose_030_3,0.3,-4.3429,-8.1047,3.0277
glucose_030_4,0.3,-4.3034,-8.1785,2.8768
glucose_030_5,0.303,-4.1171,-9.2672,1.1659
glucose_030_6,0.302,-4.2656,-8.9617,1.9061
glucose_030_7,0.3,-4.3429,-8.1047,3.0277
glucose_030_8,0.3,-4.3034,-8.1785,2.8768
glucose_032_1,0.316,-4.0798,-8.9467,1.4147
glucose_032_2,0.32,-4.1817,-8.7239,1.8429
glucose_032_3,0.32,-4.867,-8.0301,4.9417
glucose_032_4,0.32,-4.9541,-7.881,5.4047
glucose_034_1,0.337,-5.6438,-8.0048,7.2258
glucose_034_2,0.34,-6.0057,-7.4879,8.5872
glucose_034_3,0.337,-5.6438,-8.0048,7.2258
glucose_034_4,0.34,-6.0057,-7.4879,8.5872
glucose_037_1,0.373,-13.2,-1.9,18.6
glucose_037_2,0.369,-12.44,-1.9,17.6
glucose_037_3,0.373,-13.2,-1.9,18.6
glucose_037_4,0.369,-12.44,-1.9,17.6
maltose_028_1,0.275,-5.18,-2.4,13.5
maltose_028_2,0.291,-5.23,-3,14.7
maltose_028_3,0.275,-5.18,-2.4,13.5
maltose_028_4,0.291,-5.23,-3,14.7
trehalose_005_1,0.052,-0.26,-2.4,0
trehalose_005_2,0.048,-0.21,-3,0
trehalose_005_3,0.052,-0.26,-2.4,0
trehalose_005_4,0.048,-0.21,-3,0
trehalose_005_5,0.052,-0.26,-2.4,0
trehalose_005_6,0.048,-0.21,-3,0
trehalose_005_7,0.052,-0.26,-2.4,0
trehalose_005_8,0.048,-0.21,-3,0
