,Gene name
0,ND2;MTND2;MT-ND2;NADH2;clone 82-2
1,NDUFC1
2,MTND6;MT-ND6;NADH6;ND6
3,NDUFA1;hCG_23184;ZNF183
4,MTND3;MT-ND3;NADH3;ND3;AD 1
5,SDH4;SDHD;UNQ5809
6,COIII;COXIII;MTCO3;MT-CO3;COX3;CO3;DKFZp686F15101
7,ATP6;ATPASE6;MTATP6;MT-ATP6;ATPase 6;ATPase6
8,CYB560;SDH3;SDHC;hCG_1995943
9,COX6A1;COX6AL;RP3-405J24.3-001
10,HSPC119;UCRC;UQCR10;hCG_1641518
11,NDUFV3
12,COX7A2;COX7AL
13,MTND4;MT-ND4;NADH4;ND4
14,NDUFB1
15,COI;COXI;MTCO1;MT-CO1;COX1;cox1;CO1
16,ATP8;ATPASE8;MTATP8;MT-ATP8;ATPase 8;ATPase8
17,COX7C
18,ATP5E;ATP5EP2
19,NDUFB7
20,MTND1;MT-ND1;NADH1;ND1;ROPN1B
21,CYTB;cytb;CYB;Cytb;cytB;COB;MTCYB;MT-CYB;CytB;CTYB
22,PDHA2;PDHAL
23,AAC4;ANT4;SFEC;SLC25A31
24,NDUFA3;hCG_20947
25,NDUFA4
26,ATP5I;ATP5K
27,NDUFB3;hCG_1776639
28,NDUFA4L2
29,MTND5;MT-ND5;NADH5;ND5
30,UQCRH;hCG_22091
31,NDUFA11
32,NDUFB5;hCG_1787208
33,NDUFA2
34,NDUFA5;DKFZp781K1356
35,NDUFAB1
36,UQCRQ
37,PDHA1;RP11-723P2.1-010
38,NDUFB6;hCG_30272;RP11-205M20.6-002
39,NDUFS5;hCG_1782706;RP11-781D11.3-001
40,NDUFB11;UNQ111/PRO1064
41,ATP5D
42,ATP5L
43,NDUFS7
44,NDUFB8;hCG_24658;RP11-411B6.5-006;RP11-411B6.5-003
45,NDUFA7
46,NDUFS4
47,ATP12;ATPAF2;LP3663
48,COII;COXII;MTCO2;MT-CO2;COX2;CO2
49,NDUFS8
50,LYRM6;NADHB14;NDUFA6
51,LYRM3;NDUFB9;UQOR22;DKFZp566O173
52,NDUFS6;hCG_21432
53,COX6B;COX6B1
54,COX5B
55,SUCLG1;tmp_locus_1
56,DAP13;NDUFA12
57,NDUFB4
58,HLC1;NDUFC2;hCG_1643251
59,CDA016;CGI-39;GRIM19;NDUFA13
60,COX6C
61,ATP11;ATPAF1
62,COX5A
63,NDUFA8;hCG_29045;RP11-456D21.1-001
64,UQBP;UQCRB
65,CYC1
66,NDUFB10;hCG_42700
67,NDUFV2;hCG_1994226
