,Gene name,R value,P value,Bon,BH
0,Core_Sum,1.0,0.0,0.0,0.0
1,IVD;hCG_38955,0.949515688534128,3.686538153225027e-17,3.928743709891911e-13,1.9643718549459556e-13
2,DCI;hCG_41028,0.9410830316428814,3.809387402283404e-16,4.059664154613424e-12,1.3532213848711412e-12
3,ETFB;FP585,0.9407606924861001,4.136228139816915e-16,4.407978328602886e-12,1.1019945821507216e-12
4,ALDH6A1;MMSDH;MMSADHA,0.9364047605274197,1.2049947654122731e-15,1.2841629214998595e-11,2.568325842999719e-12
5,PCK2,0.9362805452923022,1.2409160942674805e-15,1.322444281660854e-11,2.2040738027680897e-12
6,C14orf159;UNQ2439/PRO5000;C14orf159 variant protein,0.9339155110842134,2.147163143820675e-15,2.288231762369693e-11,3.26890251767099e-12
7,PYCR1;PIG45;hCG_38803,0.9285677846459908,6.908190432583188e-15,7.362058544003904e-11,9.20257318000488e-12
8,LYPLAL1;hCG_24907,0.9247144293873524,1.5179431589084342e-14,1.6176720244487182e-10,1.797413360498576e-11
9,PCCA;hCG_1811327;RP11-151A6.1-001;RP11-151A6.1-004,0.9233516559147428,1.9853847465011163e-14,2.1158245243462396e-10,2.1158245243462395e-11
10,AUH,0.9227614728555675,2.226747002492302e-14,2.3730442805560463e-10,2.1573129823236783e-11
11,CPT1;CPT2,0.920117916199175,3.6821998742910207e-14,3.924120406031941e-10,3.270100338359951e-11
12,CAB39L;hCG_30046;RP11-103J18.3-002;RP11-103J18.3-006,0.9178772392216812,5.56482620450452e-14,5.930435286140467e-10,4.561873297031129e-11
13,ACAT;ACAT1;MAT,0.9171457995027494,6.351789678567907e-14,6.769102260449819e-10,4.835073043178442e-11
14,RP11-126K1.7-006;SELENBP1;SBP;RP11-126K1.7-019,0.9164562482769961,7.187362757376548e-14,7.659572490536187e-10,5.106381660357458e-11
15,EPN;MME,0.9163475969046005,7.327987473822034e-14,7.809436250852142e-10,4.880897656782589e-11
16,FGF2AS;NUDT6,0.915775444109804,8.111694048069338e-14,8.644632347027494e-10,5.0850778511926437e-11
17,COG2;LDLC;hCG_15926;RP11-543E8.3-001;RP11-543E8.3-002,0.9153791197779987,8.699516702899817e-14,9.271074950280336e-10,5.150597194600187e-11
18,FOLH;FOLH1;GIG27;NAALAD1;PSM;PSMA;FOLH1B;GIG26;PSMAL,0.9151723631034772,9.021671454476567e-14,9.614395269035678e-10,5.060208036334567e-11
19,ACSL1;FACL1;FACL2;LACS;LACS1;LACS2,0.9147921236106368,9.643283307085224e-14,1.0276847020360724e-09,5.1384235101803616e-11
20,ISOC2,0.9144526380911292,1.0231700191269605e-13,1.0903922893836018e-09,5.192344235160009e-11
21,DHODH,0.9136762056129941,1.1705244411762977e-13,1.2474278969615804e-09,5.67012680437082e-11
22,C5orf33,0.9133163127135879,1.2453162854971858e-13,1.3271335654543509e-09,5.770145936758047e-11
23,MRPL12;RPML12;MRPL7/L12,0.9133078120301015,1.2471354332845846e-13,1.3290722312513818e-09,5.537800963547424e-11
24,ETFA;hCG_39414,0.9118411830040175,1.600773625670484e-13,1.7059444528770349e-09,6.82377781150814e-11
25,FECH;DKFZp686P18130,0.9117104849510909,1.6364393420625828e-13,1.7439534068360946e-09,6.707513103215749e-11
26,MAOA;hCG_16826;RP1-201D17__B.2-001,0.9115950487133422,1.6685534026945667e-13,1.7781773612515997e-09,6.585842078709629e-11
27,MOSC2,0.9105546852277695,1.9856005098480145e-13,2.116054463345029e-09,7.557337369089389e-11
28,FAAH;FAAH1,0.9101056564407393,2.139033112573675e-13,2.2795675880697654e-09,7.860577889895743e-11
29,PRSS8,0.9096306936988201,2.313273913068656e-13,2.4652560091572668e-09,8.217520030524222e-11
