,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3,Gene name
0,,,,,,,,,,,,,,,,,,1.952038147716711e-06,,,,,,,,,,,,,,,,C11orf8;FAM1B;MPPED2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.348330595261682e-06,,CKLFSF8;CMTM8
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1994624009454337e-06,,GJA7;GJC1;DKFZp686P0738
3,,,,,,,,,,,,3.916065495415598e-06,,,,,,,,,,,,,,,,,,,,,,BLP1;TM2D2
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.107901503256819e-06,,,ATP6C;ATP6L;ATP6V0C;ATPL
5,,,,,,,,,,,,,,,,,,,,,,,2.5990938526948147e-06,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.504522342888444e-06,,RPP14
7,,,,,,,,,,,,,,,,,,1.9326058980635345e-05,,,,,,,,,,,,,,,,A15;DXS1692E;MXS1;TM4SF2;TSPAN7
8,,,,,,,,,,,,,,,,,,,,,,,,,,1.097033870379018e-07,,,,,,,,ATXN1L;BOAT
9,,,,,,,,,,,,1.2724037684588188e-05,,,,,,,,,,,,,,,,,,,,,,HOX3I;HOXC10;hCG_23354
10,,,,,,,,,,,,,,,,,,,,,1.9965182366448563e-06,,,,,,,,,,,,,MYPOP;P42POP
11,,,,,,,,,,,,,,,,,,1.3254834228930678e-05,,,,,,,,,,,,,,,,CREST;KIAA0693;SS18L1
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6628498281981954e-06,,,ELOF1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0727354778527054e-07,,,,,,,LAG1;LASS1;UOG1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28576106863385e-05,,,,SCAND1;SDP1;RAZ1
15,,,,,,7.237761626862274e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPC196;HSPC198;TMEM138
16,,,,,,,,,,,,,,,,,,8.952808614511727e-05,,,,,,,,,,,,,,,,BM-004;PLAC8
17,,,,,,5.125205407281462e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,RASSF3
18,,,,,,,,,,,,,1.7127624949001674e-06,,,,,,,,,,,,,,,,,,,,,NKD;NKD1;PP7246
19,,,,,,,,,,,,,,,,,,1.3189013130226373e-05,,,,,,,,,,,,,,,,SPINK2;hCG_18772
20,,,,,,,,,,,,,,,,,,,,,,,,,,1.805572935979868e-05,,,,,,,,C14orf109
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4825122578497418e-06,CCDC23
22,,,,,,,,,,,,,,,,,,,,,1.2471287223754964e-05,,,,,,,,,,,,,FOG1;ZFPM1
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.392079745359604e-05,CNIH4;HSPC163
24,,,,,,,,,,,,3.136829739003722e-06,,,,,,,,,,,,,,,,,,,,,,DRAK1;STK17A
25,,,,,,,,,,,,,,,,,,,,,,,5.448073550755123e-06,,,,,,,,,,,ADRA2A;ADRA2R;ADRAR
26,,,,,,3.7944975405691056e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,C9orf25;RP11-573M23.5-005;RP11-573M23.5-003
27,,,8.575664405424875e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C15orf17
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.953476312953093e-06,,,,HSD23;HSD-23;UNC50;UNCL
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3235818720232625e-05,,,,C4orf46
30,,,,,,,,,,,,,,,,,,,,,4.410169500747436e-06,,,,,,,,,,,,,CXXC5;HSPC195;TCCCIA00297;CF5;hCG_1640204
31,,,,,,,,,,,,,,,,,,,,,5.238347214660703e-06,,,,,,,,,,,,,DRAM2;PSEC0031;TMEM77;UNQ154/PRO180
32,,,,,,,,,,,,,,,,,,3.3925112820738572e-06,,,,,,,,,,,,,,,,APOC3;hCG_41334
33,,,,,,,,,4.49149310995018e-06,,,,,,,,,,,,,,,,,,,,,,,,,EMOC;TMEM106C
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.573466999604604e-05,,HRIHFB2072;SCOC;SCOCO
35,,,,,,7.252559086351555e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAD;RRAD
36,,,,,,,,,,,,,,,,,,,,,,,2.1250833179283011e-07,,,,,,,,,,,ZNF358
