,Gene name
0,HSP60;HSPD1
1,ATP5B;ATPMB;ATPSB
2,ATP5A;ATP5A1;ATP5AL2;ATPM
3,MDH2
4,ANT2;SLC25A5
5,LRP130;LRPPRC
6,TUFM
7,VDAC;VDAC1
8,HSPE1;EPFP1;hCG_21429
9,APE;APEX;APEX1;APX;HAP1;REF1;hCG_40473
10,SHMT2;DKFZp686P09201;hCG_41231
11,AAC4;ANT4;SFEC;SLC25A31
12,VDAC2;RP11-375G3.1-010;RP11-375G3.1-005
13,ANT1;SLC25A4
14,ACO2;RP3-347H13.8-002
15,PHB;hCG_29613
16,NKEFB;PRDX2;TDPX1;hCG_172488
17,AOP1;PRDX3;mer5
18,MAOA;hCG_16826;RP1-201D17__B.2-001
19,COI;COXI;MTCO1;MT-CO1;COX1;cox1;CO1
20,GOT2
21,OK/SW-cl.48;PHC;SLC25A3
22,ECHS1
23,FH;hCG_40671;RP11-527D7.2-001
24,ATP5C;ATP5C1;ATP5CL1
25,ATP12;ATPAF2;LP3663
26,UQCRC1
27,ATP5H;My032
28,ETFA;hCG_39414
29,DLD;GCSL;LAD;PHE3
30,GOT1;GIG18
31,ACAT;ACAT1;MAT
32,PCK2
33,PARK7
34,CS
35,EDH17B4;HSD17B4
36,ATP6;ATPASE6;MTATP6;MT-ATP6;ATPase 6;ATPase6
37,HADHB;MSTP029
38,COIII;COXIII;MTCO3;MT-CO3;COX3;CO3;DKFZp686F15101
39,ATP5C;ATP5C1;ATP5CL1;hCG_25112;RP11-401E9.1-001
40,COX4;COX4I1
41,UQCRC2
42,LONP1;PRSS15
43,SFXN1
44,HAD;HADH;HADHSC;SCHAD
45,IARS2
46,ANT3;CDABP0051;SLC25A6;hCG_1746794
47,ETFB;FP585
48,MTND5;MT-ND5;NADH5;ND5
49,OXCT;OXCT1;SCOT
50,ACR1;PRDX5;SBBI10
51,COII;COXII;MTCO2;MT-CO2;COX2;CO2
52,hCG_17250;NDUFS1
53,OGDH
54,ATP5O;ATPO
55,ACADVL;VLCAD;hCG_42007
56,CYTB;cytb;CYB;Cytb;cytB;COB;MTCYB;MT-CYB;CytB;CTYB
57,ALDH2;ALDM
58,ATP5F1;hCG_39985;RP11-552M11.5-005
59,NIPSNAP1
60,MTND4;MT-ND4;NADH4;ND4
61,CYC1
62,CAT
63,NDUFA9;NDUFS2L
64,LETM1
65,MIMT44;TIM44;TIMM44;DKFZp686H05241;hTIM44
66,CYC;CYCS
