,variable,organism,value,mito
0,LFQ Intensity A549_1,mammalian,0.1012417851623997,35.0
1,LFQ Intensity A549_2,mammalian,0.10345238066974964,35.0
2,LFQ Intensity A549_3,mammalian,0.0956296337723219,35.0
3,LFQ Intensity GAMG_1,mammalian,0.1019132092133892,35.0
4,LFQ Intensity GAMG_2,mammalian,0.10171699767657838,35.0
5,LFQ Intensity GAMG_3,mammalian,0.10315273321700022,35.0
6,LFQ Intensity HEK293_1,mammalian,0.09339607123332867,35.0
7,LFQ Intensity HEK293_2,mammalian,0.09047629950305139,35.0
8,LFQ Intensity HEK293_3,mammalian,0.09795947346274506,35.0
9,LFQ Intensity HeLa_1,mammalian,0.10568793457678277,35.0
10,LFQ Intensity HeLa_2,mammalian,0.10950302783401926,35.0
11,LFQ Intensity HeLa_3,mammalian,0.1055414572398992,35.0
12,LFQ Intensity HepG2_1,mammalian,0.12813204724563257,35.0
13,LFQ Intensity HepG2_2,mammalian,0.13243896462316454,35.0
14,LFQ Intensity HepG2_3,mammalian,0.14426048767114502,35.0
15,LFQ Intensity Jurkat_1,mammalian,0.10577201495249719,35.0
16,LFQ Intensity Jurkat_2,mammalian,0.1106068142180657,35.0
17,LFQ Intensity Jurkat_3,mammalian,0.11208129509824717,35.0
18,LFQ Intensity K562_1,mammalian,0.09302392140036507,35.0
19,LFQ Intensity K562_2,mammalian,0.09315660735214845,35.0
20,LFQ Intensity K562_3,mammalian,0.09447761689939399,35.0
21,LFQ Intensity LnCap_1,mammalian,0.20993699895841667,35.0
22,LFQ Intensity LnCap_2,mammalian,0.212526570722821,35.0
23,LFQ Intensity LnCap_3,mammalian,0.23100196361153177,35.0
24,LFQ Intensity MCF7_1,mammalian,0.1008390935132123,35.0
25,LFQ Intensity MCF7_2,mammalian,0.10639236623200697,35.0
26,LFQ Intensity MCF7_3,mammalian,0.11619992501049903,35.0
27,LFQ Intensity RKO_1,mammalian,0.1286209496918053,35.0
28,LFQ Intensity RKO_2,mammalian,0.12880286407218172,35.0
29,LFQ Intensity RKO_3,mammalian,0.11730077944292823,35.0
30,LFQ Intensity U2OS_1,mammalian,0.08910397510111051,35.0
31,LFQ Intensity U2OS_2,mammalian,0.08860500667054791,35.0
32,LFQ Intensity U2OS_3,mammalian,0.09301998110693324,35.0
