,variable,organism,value
0,LFQ Intensity A549_1,mammalian,0.08088284067256682
1,LFQ Intensity A549_2,mammalian,0.08166283659822984
2,LFQ Intensity A549_3,mammalian,0.07373737152062879
3,LFQ Intensity GAMG_1,mammalian,0.08433334555657046
4,LFQ Intensity GAMG_2,mammalian,0.08308807695961201
5,LFQ Intensity GAMG_3,mammalian,0.08356528765220761
6,LFQ Intensity HEK293_1,mammalian,0.06996499232241485
7,LFQ Intensity HEK293_2,mammalian,0.06675458210611611
8,LFQ Intensity HEK293_3,mammalian,0.07328025274630717
9,LFQ Intensity HeLa_1,mammalian,0.07580483097382298
10,LFQ Intensity HeLa_2,mammalian,0.07972088077305405
11,LFQ Intensity HeLa_3,mammalian,0.0750062271039349
12,LFQ Intensity HepG2_1,mammalian,0.07483222372281195
13,LFQ Intensity HepG2_2,mammalian,0.07942393466787415
14,LFQ Intensity HepG2_3,mammalian,0.07920794529043834
15,LFQ Intensity Jurkat_1,mammalian,0.0762335824134253
16,LFQ Intensity Jurkat_2,mammalian,0.08281950622271927
17,LFQ Intensity Jurkat_3,mammalian,0.08299534255148358
18,LFQ Intensity K562_1,mammalian,0.06717223810152426
19,LFQ Intensity K562_2,mammalian,0.06942135281472223
20,LFQ Intensity K562_3,mammalian,0.05380678629536563
21,LFQ Intensity LnCap_1,mammalian,0.10975742838439903
22,LFQ Intensity LnCap_2,mammalian,0.11199807795493508
23,LFQ Intensity LnCap_3,mammalian,0.12187055895466103
24,LFQ Intensity MCF7_1,mammalian,0.07304328125038391
25,LFQ Intensity MCF7_2,mammalian,0.07631715934378758
26,LFQ Intensity MCF7_3,mammalian,0.08388486954989866
27,LFQ Intensity RKO_1,mammalian,0.08565519856317069
28,LFQ Intensity RKO_2,mammalian,0.08586283228326366
29,LFQ Intensity RKO_3,mammalian,0.06992186617483646
30,LFQ Intensity U2OS_1,mammalian,0.06813175889429049
31,LFQ Intensity U2OS_2,mammalian,0.06859967328319765
32,LFQ Intensity U2OS_3,mammalian,0.07003418828035342
