Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
C11orf8;FAM1B;MPPED2,,,,,,,,,,,,,,,,,,1.96638659721604e-06,,,,,,,,,,,,,,,
CKLFSF8;CMTM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392974794962821e-06,
GJA7;GJC1;DKFZp686P0738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.205876741914658e-06,
BLP1;TM2D2,,,,,,,,,,,,3.949172481399932e-06,,,,,,,,,,,,,,,,,,,,,
ATP6C;ATP6L;ATP6V0C;ATPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14224426538786e-06,,
nan,,,,,,,,,,,,,,,,,,,,,,,2.6422194737684174e-06,,,,,,,,,,
RPP14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.533958766366303e-06,
A15;DXS1692E;MXS1;TM4SF2;TSPAN7,,,,,,,,,,,,,,,,,,1.9468115108805304e-05,,,,,,,,,,,,,,,
ATXN1L;BOAT,,,,,,,,,,,,,,,,,,,,,,,,,,1.1077496291115598e-07,,,,,,,
HOX3I;HOXC10;hCG_23354,,,,,,,,,,,,1.2831608545642722e-05,,,,,,,,,,,,,,,,,,,,,
MYPOP;P42POP,,,,,,,,,,,,,,,,,,,,,2.0098332105169486e-06,,,,,,,,,,,,
CREST;KIAA0693;SS18L1,,,,,,,,,,,,,,,,,,1.3352263841040587e-05,,,,,,,,,,,,,,,
ELOF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.700312885950951e-06,,
LAG1;LASS1;UOG1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0934233337692825e-07,,,,,,
SCAND1;SDP1;RAZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3067832062832426e-05,,,
