,variable,value,mito,estimate,organism
0,LFQ Intensity A549_1,0.06318880010615593,35,respiration,mammalian
1,LFQ Intensity A549_2,0.06290148154041059,35,respiration,mammalian
2,LFQ Intensity A549_3,0.04974638693539387,35,respiration,mammalian
3,LFQ Intensity GAMG_1,0.054981383360056174,35,respiration,mammalian
4,LFQ Intensity GAMG_2,0.053374929862973215,35,respiration,mammalian
5,LFQ Intensity GAMG_3,0.05395183094982483,35,respiration,mammalian
6,LFQ Intensity HEK293_1,0.0607974281652621,35,respiration,mammalian
7,LFQ Intensity HEK293_2,0.05786816574408942,35,respiration,mammalian
8,LFQ Intensity HEK293_3,0.06165968779122281,35,respiration,mammalian
9,LFQ Intensity HeLa_1,0.06788315316172956,35,respiration,mammalian
10,LFQ Intensity HeLa_2,0.06848003346123342,35,respiration,mammalian
11,LFQ Intensity HeLa_3,0.06751217253551282,35,respiration,mammalian
12,LFQ Intensity HepG2_1,0.1022519088479218,35,respiration,mammalian
13,LFQ Intensity HepG2_2,0.10121808240759993,35,respiration,mammalian
14,LFQ Intensity HepG2_3,0.1117119032417747,35,respiration,mammalian
15,LFQ Intensity Jurkat_1,0.06853539337743318,35,respiration,mammalian
16,LFQ Intensity Jurkat_2,0.06308831823148457,35,respiration,mammalian
17,LFQ Intensity Jurkat_3,0.06575948679738658,35,respiration,mammalian
18,LFQ Intensity K562_1,0.06303206396205424,35,respiration,mammalian
19,LFQ Intensity K562_2,0.05919289454066286,35,respiration,mammalian
20,LFQ Intensity K562_3,0.06933664439813902,35,respiration,mammalian
21,LFQ Intensity LnCap_1,0.1821501378917041,35,respiration,mammalian
22,LFQ Intensity LnCap_2,0.17949589466859006,35,respiration,mammalian
23,LFQ Intensity LnCap_3,0.19390634046816563,35,respiration,mammalian
24,LFQ Intensity MCF7_1,0.07292339146109035,35,respiration,mammalian
25,LFQ Intensity MCF7_2,0.07441786323967335,35,respiration,mammalian
26,LFQ Intensity MCF7_3,0.07823072279095677,35,respiration,mammalian
27,LFQ Intensity RKO_1,0.08724965772292145,35,respiration,mammalian
28,LFQ Intensity RKO_2,0.08556873101295982,35,respiration,mammalian
29,LFQ Intensity RKO_3,0.08102634667189558,35,respiration,mammalian
30,LFQ Intensity U2OS_1,0.04682209416117382,35,respiration,mammalian
31,LFQ Intensity U2OS_2,0.044408616214040894,35,respiration,mammalian
32,LFQ Intensity U2OS_3,0.04989932164984335,35,respiration,mammalian
