,variable,value,estimate,organism
0,LFQ Intensity A549_1,0.035258976134157224,respiration,mammalian
1,LFQ Intensity A549_2,0.034094255143609815,respiration,mammalian
2,LFQ Intensity A549_3,0.02483704397995303,respiration,mammalian
3,LFQ Intensity GAMG_1,0.031323782036952,respiration,mammalian
4,LFQ Intensity GAMG_2,0.029347274175546854,respiration,mammalian
5,LFQ Intensity GAMG_3,0.029236225767537354,respiration,mammalian
6,LFQ Intensity HEK293_1,0.03082566981970793,respiration,mammalian
7,LFQ Intensity HEK293_2,0.02847773117206159,respiration,mammalian
8,LFQ Intensity HEK293_3,0.030912589853697943,respiration,mammalian
9,LFQ Intensity HeLa_1,0.03257669471906482,respiration,mammalian
10,LFQ Intensity HeLa_2,0.03343027854145969,respiration,mammalian
11,LFQ Intensity HeLa_3,0.03113205962806716,respiration,mammalian
12,LFQ Intensity HepG2_1,0.04378779402345624,respiration,mammalian
13,LFQ Intensity HepG2_2,0.043284603723984946,respiration,mammalian
14,LFQ Intensity HepG2_3,0.043498467565938385,respiration,mammalian
15,LFQ Intensity Jurkat_1,0.03370371567844467,respiration,mammalian
16,LFQ Intensity Jurkat_2,0.03071836001810256,respiration,mammalian
17,LFQ Intensity Jurkat_3,0.03206044395499572,respiration,mammalian
18,LFQ Intensity K562_1,0.03293301560197123,respiration,mammalian
19,LFQ Intensity K562_2,0.0314093162082536,respiration,mammalian
20,LFQ Intensity K562_3,0.02881326673589821,respiration,mammalian
21,LFQ Intensity LnCap_1,0.07362567110576958,respiration,mammalian
22,LFQ Intensity LnCap_2,0.07145996636485238,respiration,mammalian
23,LFQ Intensity LnCap_3,0.07784434140842887,respiration,mammalian
24,LFQ Intensity MCF7_1,0.03797651960606539,respiration,mammalian
25,LFQ Intensity MCF7_2,0.037894413368047344,respiration,mammalian
26,LFQ Intensity MCF7_3,0.039987764986372284,respiration,mammalian
27,LFQ Intensity RKO_1,0.03930779591750723,respiration,mammalian
28,LFQ Intensity RKO_2,0.037834547929454704,respiration,mammalian
29,LFQ Intensity RKO_3,0.03166711276414972,respiration,mammalian
30,LFQ Intensity U2OS_1,0.02282227714854124,respiration,mammalian
31,LFQ Intensity U2OS_2,0.02145873803212075,respiration,mammalian
32,LFQ Intensity U2OS_3,0.023828038596599446,respiration,mammalian
