,variable,value,estimate,organism
0,LFQ Intensity A549_1,0.09957636002337042,respiration,mammalian
1,LFQ Intensity A549_2,0.10102533695562059,respiration,mammalian
2,LFQ Intensity A549_3,0.09810034392146104,respiration,mammalian
3,LFQ Intensity GAMG_1,0.08797871400328193,respiration,mammalian
4,LFQ Intensity GAMG_2,0.08849871021037094,respiration,mammalian
5,LFQ Intensity GAMG_3,0.08805617523771737,respiration,mammalian
6,LFQ Intensity HEK293_1,0.0937660433842012,respiration,mammalian
7,LFQ Intensity HEK293_2,0.091910069396495,respiration,mammalian
8,LFQ Intensity HEK293_3,0.0966364937672368,respiration,mammalian
9,LFQ Intensity HeLa_1,0.10993847086560389,respiration,mammalian
10,LFQ Intensity HeLa_2,0.10848188109511098,respiration,mammalian
11,LFQ Intensity HeLa_3,0.11232115842946241,respiration,mammalian
12,LFQ Intensity HepG2_1,0.16851322442388258,respiration,mammalian
13,LFQ Intensity HepG2_2,0.1671727834064798,respiration,mammalian
14,LFQ Intensity HepG2_3,0.18317540783340194,respiration,mammalian
15,LFQ Intensity Jurkat_1,0.1002304445357896,respiration,mammalian
16,LFQ Intensity Jurkat_2,0.09171237014763073,respiration,mammalian
17,LFQ Intensity Jurkat_3,0.09726969018260544,respiration,mammalian
18,LFQ Intensity K562_1,0.1050041552436786,respiration,mammalian
19,LFQ Intensity K562_2,0.09840207236407696,respiration,mammalian
20,LFQ Intensity K562_3,0.13405092158578513,respiration,mammalian
21,LFQ Intensity LnCap_1,0.22691932306716167,respiration,mammalian
22,LFQ Intensity LnCap_2,0.22490370491878212,respiration,mammalian
23,LFQ Intensity LnCap_3,0.23734026474635114,respiration,mammalian
24,LFQ Intensity MCF7_1,0.11150686918350243,respiration,mammalian
25,LFQ Intensity MCF7_2,0.11374195624406747,respiration,mammalian
26,LFQ Intensity MCF7_3,0.11566542248915727,respiration,mammalian
27,LFQ Intensity RKO_1,0.1293308411432768,respiration,mammalian
28,LFQ Intensity RKO_2,0.12572628868083074,respiration,mammalian
29,LFQ Intensity RKO_3,0.14339830154160232,respiration,mammalian
30,LFQ Intensity U2OS_1,0.07889021108137632,respiration,mammalian
31,LFQ Intensity U2OS_2,0.07523328310707124,respiration,mammalian
32,LFQ Intensity U2OS_3,0.08078753393326957,respiration,mammalian
