,ORF,Gene name
0,YJR045C,SSC1
1,YLR259C,HSP60
2,YLR304C,ACO1
3,YBL099W,ATP1
4,YJR121W,ATP2
5,YBL015W,ACH1
6,YLR355C,ILV5
7,YMR108W,ILV2
8,YNL104C,LEU4
9,YPR191W,QCR2
10,,TEF2;TEF1
11,YBL022C,PIM1
13,YIL136W,OM45
14,YBL030C,PET9
15,YOR374W,ALD4
16,,"ARG5,6"
17,YNR001C,CIT1
18,YFL018C,LPD1
19,YDR258C,HSP78
22,YJR016C,ILV3
23,YNL055C,POR1
24,YIL125W,KGD1
25,YLL024C,SSA2
26,YBL045C,COR1
27,YJL200C,ACO2
28,YDL066W,IDP1
29,YKL148C,SDH1
30,YIL155C,GUT2
31,YOR187W,TUF1
32,YER086W,ILV1
33,YDL174C,DLD1
35,YOR108W,LEU9
36,YER178W,PDA1
37,YGR244C,LSC2
38,YOR065W,CYT1
39,YMR186W,HSC82
40,YMR062C,ARG7
41,YMR145C,NDE1
43,YNL037C,IDH1
44,YKL085W,MDH1
45,YMR089C,YTA12
46,YBR039W,ATP3
48,YPL262W,FUM1
49,YDR148C,KGD2
50,YML042W,CAT2
51,YNL121C,TOM70
52,YML054C,CYB2
53,YIL094C,LYS12
54,YBR263W,SHM1
55,YDR430C,CYM1
56,YLL040C,VPS13
57,YBR084W,MIS1
58,YIL022W,TIM44
60,YER073W,ALD5
61,YDR194C,MSS116
62,YLR069C,MEF1
63,YML120C,NDI1
64,YJR077C,MIR1
65,YKL029C,MAE1
66,YER080W,AIM9
67,YOR136W,IDH2
68,YBR085W,AAC3
69,YDR234W,LYS4
71,YNL071W,LAT1
72,YHR037W,PUT2
73,YKL157W,APE2
74,YGR234W,YHB1
75,YMR302C,YME2
76,YOR211C,MGM1
77,YPR024W,YME1
78,YPR006C,ICL2
79,YPL061W,ALD6
80,,PHO88
81,YKL016C,ATP7
82,YLR369W,SSQ1
83,YMR189W,GCV2
84,YBR121C,GRS1
85,YER017C,AFG3
86,YOR142W,LSC1
87,YHR024C,MAS2
88,YPL063W,TIM50
89,YBR221C,PDB1
90,YLL041C,SDH2
91,YLR382C,NAM2
92,YMR241W,YHM2
93,YML086C,ALO1
94,YDL198C,GGC1
95,YGL129C,RSM23
96,YHR208W,BAT1
97,YNL137C,NAM9
98,YCL009C,ILV6
99,YFL016C,MDJ1
101,YBR127C,VMA2
102,YOR335C,ALA1
103,YGR094W,VAS1
104,YKR016W,MIC60
105,YOL027C,MDM38
106,YMR188C,MRPS17
107,YOR222W,ODC2
108,YOR356W,CIR2
109,YOL140W,ARG8
110,YDR298C,ATP5
111,YPL134C,ODC1
112,YOR100C,CRC1
114,YDL131W,LYS21
115,YNL005C,MRP7
116,YPL078C,ATP4
117,YNL098C,RAS2
118,YGR193C,PDX1
119,YOR168W,GLN4
120,YDL085W,NDE2
121,YEL024W,RIP1
122,YGR132C,PHB1
123,YBR291C,CTP1
124,YHR042W,NCP1
125,YJR095W,SFC1
126,YPR001W,CIT3
127,YOR215C,AIM41
128,YPL040C,ISM1
129,YMR024W,MRPL3
130,YKL195W,MIA40
131,YER182W,FMP10
132,YGR286C,BIO2
133,YOR020C,HSP10
134,YBR179C,FZO1
135,YKL150W,MCR1
136,YBL098W,BNA4
137,YDR316W,OMS1
138,YOR232W,MGE1
139,YHL021C,AIM17
140,YHR051W,COX6
141,YDR494W,RSM28
143,YLR203C,MSS51
144,YML078W,CPR3
145,YJR113C,RSM7
146,YOR354C,MSC6
147,YKL120W,OAC1
148,YER004W,FMP52
149,YMR110C,HFD1
150,YDR347W,MRP1
151,YLR163C,MAS1
152,YPL215W,CBP3
153,YFL036W,RPO41
154,YGL245W,GUS1
155,YLR454W,FMP27
157,YBR026C,ETR1
158,YGL064C,MRH4
160,YML030W,RCF1
161,YGL068W,MNP1
162,YKR066C,CCP1
163,YDR529C,QCR7
164,YBL090W,MRP21
165,YNL052W,COX5A
166,YDR019C,GCV1
167,YNL252C,MRPL17
168,YMR207C,HFA1
169,YJR080C,AIM24
170,YMR072W,ABF2
171,YGR165W,MRPS35
172,YCL017C,NFS1
173,YGL107C,RMD9
174,YLR089C,ALT1
175,YPL104W,MSD1
176,YGR207C,CIR1
177,YGR231C,PHB2
178,YHR011W,DIA4
179,YDL178W,DLD2
180,YBL064C,PRX1
181,YPL118W,MRP51
182,YER014W,HEM14
183,YPL173W,MRPL40
184,YDR337W,MRPS28
185,YKL155C,RSM22
186,YOR271C,FSF1
187,YPR047W,MSF1
188,YPR155C,NCA2
189,YPL082C,MOT1
190,YMR066W,SOV1
191,Q0140,VAR1
192,YIL043C,CBR1
193,YNL073W,MSK1
194,YDR175C,RSM24
195,YPR125W,YLH47
196,YKL040C,NFU1
197,YJR104C,SOD1
198,YDR256C,CTA1
199,YDL044C,MTF2
200,YBR120C,CBP6
201,YML025C,YML6
202,YGL228W,SHE10
203,YAL054C,ACS1
204,YJR048W,CYC1
205,YDR322W,MRPL35
206,YJL109C,UTP10
207,YER087W,AIM10
208,YHR008C,SOD2
209,YCR004C,YCP4
210,YPL222W,FMP40
211,YIL051C,MMF1
212,YHR117W,TOM71
213,YCR028C-A,RIM1
214,YER141W,COX15
215,YGR112W,SHY1
216,YOR196C,LIP5
217,YOR089C,VPS21
218,YPR033C,HTS1
219,YCL057W,PRD1
220,YGL191W,COX13
221,YLL001W,DNM1
222,YNL083W,SAL1
223,YMR115W,MGR3
224,YJR003C,MRX12
225,YDR120C,TRM1
226,YKL027W,TCD2
227,YML128C,MSC1
228,YEL071W,DLD3
229,YDR226W,ADK1
230,YJL074C,SMC3
231,YGR082W,TOM20
232,YJR144W,MGM101
233,YOL023W,IFM1
234,YJL060W,BNA3
235,YOR176W,HEM15
236,YHR120W,MSH1
237,YGL236C,MTO1
238,YHR038W,RRF1
239,YGR150C,CCM1
240,YKR006C,MRPL13
241,YJL066C,MPM1
242,YJL102W,MEF2
243,YER015W,FAA2
244,YFL008W,SMC1
245,YJL112W,MDV1
246,YGR220C,MRPL9
247,YDR116C,MRPL1
248,YHR003C,TCD1
249,YBR251W,MRPS5
250,YPR004C,AIM45
251,,Oct-01
253,YGR028W,MSP1
254,YLR439W,MRPL4
255,YKL170W,MRPL38
256,YPL270W,MDL2
257,YPL135W,ISU1
258,YNL131W,TOM22
259,YKL106W,AAT1
260,YCR046C,IMG1
261,YDR033W,MRH1
262,YGL119W,COQ8
264,YJL054W,TIM54
265,YEL052W,AFG1
266,YDR155C,CPR1
267,YKL194C,MST1
268,YER154W,OXA1
269,YBR003W,COQ1
270,YPR021C,AGC1
271,YKL087C,CYT2
272,YMR098C,ATP25
273,YHL004W,MRP4
274,YBR227C,MCX1
275,YDR232W,HEM1
276,YJR051W,OSM1
277,YNL239W,LAP3
278,YNL315C,ATP11
279,YNL169C,PSD1
280,YNL185C,MRPL19
281,YPR020W,ATP20
282,YHR198C,AIM18
283,YML091C,RPM2
284,YIL093C,RSM25
285,YJL104W,PAM16
286,YMR056C,AAC1
287,YDL202W,MRPL11
288,YKL094W,YJU3
289,YER053C,PIC2
290,YJL180C,ATP12
291,YMR301C,ATM1
292,YPR058W,YMC1
293,YNL256W,FOL1
294,YAR035W,YAT1
295,YAL001C,TFC3
296,YOR205C,GEP3
297,YBR104W,YMC2
298,YOR017W,PET127
299,YLR289W,GUF1
300,YHR147C,MRPL6
301,YGR181W,TIM13
302,YGR178C,PBP1
303,YNL026W,SAM50
304,YDR405W,MRP20
305,YJR122W,IBA57
306,YOR285W,RDL1
307,YMR287C,DSS1
308,YOR158W,PET123
309,YPL097W,MSY1
310,YER078C,ICP55
311,YML001W,YPT7
312,YNL177C,MRPL22
313,YBR044C,TCM62
314,YGR235C,MIC26
315,YLR188W,MDL1
316,YJL131C,AIM23
317,YFR011C,MIC19
318,YDR062W,LCB2
319,YEL050C,RML2
320,YDR178W,SDH4
321,YDR376W,ARH1
322,YER061C,CEM1
323,YGL187C,COX4
324,YGR171C,MSM1
325,YPR133W-A,TOM5
326,YMR193W,MRPL24
327,YCR071C,IMG2
328,YGR029W,ERV1
329,YDR237W,MRPL7
330,YDR326C,YSP2
331,YDR375C,BCS1
332,YPR140W,TAZ1
333,YBR146W,MRPS9
334,YOR090C,PTC5
335,YHR001W-A,QCR10
336,YOR266W,PNT1
337,YDL107W,MSS2
338,YJL063C,MRPL8
339,YHR076W,PTC7
340,YJR148W,BAT2
341,YER048W-A,ISD11
342,YCL057C-A,MIC10
343,YGR174C,CBP4
344,YNR022C,MRPL50
345,YMR203W,TOM40
346,YDR393W,SHE9
347,YNL274C,GOR1
348,YMR158W,MRPS8
349,YMR282C,AEP2
350,YHR091C,MSR1
351,YBL107C,MIX23
352,YPL188W,POS5
