,ORF,R value,P value,Bon,BH
0,Core_Sum,1.0,0.0,0.0,0.0
1,YLL041C,0.933446110658065,4.297119695182897e-31,2.9392298715051016e-27,1.4696149357525508e-27
2,YOL077W-A,0.9170111647194479,4.7996601733659245e-28,3.2829675585822923e-24,1.0943225195274308e-24
3,YDR322C-A,0.9163502051074777,6.169678625929144e-28,4.220060180135535e-24,1.0550150450338837e-24
4,YDL004W,0.9145033328040292,1.2310386412826152e-27,8.420304306373088e-24,1.6840608612746177e-24
5,Q0130,0.9139800605612478,1.492939456690931e-27,1.0211705883765967e-23,1.7019509806276613e-24
6,Q0085,0.9139800605612478,1.492939456690931e-27,1.0211705883765967e-23,1.458815126252281e-24
7,Q0080,0.9139800605612478,1.492939456690931e-27,1.0211705883765967e-23,1.2764632354707459e-24
8,YLR295C,0.9070698784870979,1.7091482432395995e-26,1.169057398375886e-22,1.2989526648620955e-23
9,YPR191W,0.885894955021717,1.0581416604829872e-23,7.237688957703632e-20,7.237688957703632e-21
10,YNR001C,0.852307367578292,3.026392287669257e-20,2.0700523247657717e-16,1.8818657497870653e-17
11,YBL045C,0.8504068963021182,4.4707967092106066e-20,3.0580249491000547e-16,2.5483541242500457e-17
12,YBL099W,0.8474171550999151,8.171190789565918e-20,5.589094500063088e-16,4.2993034615869907e-17
13,YDL181W,0.8436478088319264,1.7163873214377783e-19,1.1740089278634404e-15,8.385778056167432e-17
14,YDL130W-A,0.8430966323088577,1.910012205081493e-19,1.3064483482757412e-15,8.709655655171608e-17
15,YBL064C,0.833622935052549,1.127476112530314e-18,7.711936609707348e-15,4.819960381067092e-16
16,YJR077C,0.8160231257888957,2.3113384452943077e-17,1.5809554965813064e-13,9.299738215184156e-15
17,YLR174W,0.8100324829204013,6.009005100915509e-17,4.1101594890262085e-13,2.2834219383478936e-14
18,YGR183C,0.8047569599674872,1.3560000119972476e-16,9.275040082061173e-13,4.881600043190091e-14
19,YFR033C,0.8041635282399919,1.483703997878414e-16,1.0148535345488351e-12,5.074267672744176e-14
20,Q0105,0.8035789237007499,1.620777596710941e-16,1.1086118761502836e-12,5.279104172144208e-14
21,YOR374W,0.802662318405667,1.8605259938242233e-16,1.2725997797757688e-12,5.784544453526222e-14
22,YGR043C,0.7991656376166019,3.128567067299499e-16,2.1399398740328572e-12,9.30408640883851e-14
23,YLR377C,0.7814225242735994,3.766520746639513e-15,2.5763001907014266e-11,1.0734584127922612e-12
24,YPL262W,0.777706606092446,6.1600812741529396e-15,4.213495591520611e-11,1.6853982366082444e-12
25,YNL055C,0.7756302708560775,8.075857820989582e-15,5.523886749556874e-11,2.124571826752644e-12
26,YBL015W,0.7728676851276949,1.1527479929121159e-14,7.884796271518872e-11,2.92029491537736e-12
27,YOR136W,0.7657838603722653,2.807464879965373e-14,1.920305977896315e-10,6.858235635343983e-12
28,YNL015W,0.7625736043656876,4.159814080707516e-14,2.845312831203941e-10,9.81142355587566e-12
29,YGR008C,0.7611014950416249,4.9714602971261717e-14,3.400478843234301e-10,1.133492947744767e-11
30,YPL078C,0.7572294010368803,7.897210762344193e-14,5.401692161443428e-10,1.7424813424011056e-11
31,YKL085W,0.7545672362473266,1.0801958364303017e-13,7.388539521183263e-10,2.3089186003697697e-11
32,YIL136W,0.7519266132274507,1.468035669417055e-13,1.0041363978812657e-09,3.0428375693371687e-11
33,YNL037C,0.7483142127913638,2.2199001508271725e-13,1.5184117031657861e-09,4.4659167740170177e-11
34,YMR072W,0.7431691942842955,3.953295924045841e-13,2.704054412047355e-09,7.725869748706729e-11
35,YDR298C,0.7411972321537091,4.914195762341831e-13,3.361309901441812e-09,9.336971948449478e-11
36,YJR121W,0.7306720720143757,1.5197133719943501e-12,1.0394839464441355e-08,2.8094160714706363e-10
37,YCL040W,0.7247786046198331,2.795336670241354e-12,1.912010282445086e-08,5.031606006434438e-10
38,YKL067W,0.723381342189437,3.222471672723819e-12,2.204170624143092e-08,5.651719549084851e-10
39,YER004W,0.718275807710554,5.3788426279637696e-12,3.679128357527218e-08,9.197820893818046e-10
40,YJR095W,0.7177451369316697,5.669390121898214e-12,3.8778628433783783e-08,9.458202057020434e-10
41,YPR002W,0.7160067397047497,6.730066501888359e-12,4.603365487291638e-08,1.0960394017361041e-09
42,YKL016C,0.7153474655987059,7.179966219010891e-12,4.911096893803449e-08,1.1421155566984766e-09
43,YFL030W,0.7143456485238829,7.91911423830136e-12,5.4166741389981306e-08,1.2310623043177569e-09
44,YOL126C,0.7128701898823443,9.141584411675262e-12,6.25284373758588e-08,1.38952083057464e-09
45,YIL125W,0.7048457848041061,1.9651837879354935e-11,1.3441857109478776e-07,2.9221428498866904e-09
46,YML054C,0.7041673584140749,2.0941041708350868e-11,1.4323672528511993e-07,3.0475898996834026e-09
47,YER065C,0.6971592045631855,3.995710755420785e-11,2.733066156707817e-07,5.693887826474619e-09
48,YIL155C,0.6958437217478387,4.5016781771992556e-11,3.079147873204291e-07,6.283975251437328e-09
49,YDR148C,0.6906908154582395,7.137953061486118e-11,4.882359894056505e-07,9.76471978811301e-09
50,YKL148C,0.6815714254226773,1.5773662071782716e-10,1.0789184857099377e-06,2.115526442568505e-08
51,YAL054C,0.6767474160332938,2.3721988505135203e-10,1.622584013751248e-06,3.120353872598554e-08
52,YNL117W,0.6694874743379038,4.3219710682623095e-10,2.9562282106914197e-06,5.577789076776264e-08
53,YBR085W,0.6657432987780281,5.851053025622339e-10,4.00212026952568e-06,7.411333832454964e-08
54,YMR056C,0.6656866997869763,5.877711716972981e-10,4.020354814409519e-06,7.309736026199125e-08
55,YBL030C,0.6650494856819835,6.185942465712084e-10,4.231184646547065e-06,7.555686868834045e-08
56,YJL153C,0.6636115755871507,6.939037688459557e-10,4.746301778906336e-06,8.326845226151467e-08
57,YNR034W-A,0.6598780749041999,9.323671772312954e-10,6.37739149226206e-06,1.0995502572865621e-07
58,YCR010C,0.6583545197754006,1.0505637734797646e-09,7.185856210601589e-06,1.217941730610439e-07
59,YBR072W,0.657364284735832,1.1348917798649198e-09,7.762659774276052e-06,1.2937766290460085e-07
60,YKL141W,0.6529564836107523,1.5948488471067648e-09,1.090876611421027e-05,1.7883223138049624e-07
61,YPR183W,0.650520340486124,1.92023851722066e-09,1.3134431457789314e-05,2.118456686740212e-07
62,YBR149W,0.6425423941051361,3.4867059795468698e-09,2.384906890010059e-05,3.7855664920794584e-07
63,YMR303C,0.6416140025453725,3.733136216495363e-09,2.553465172082828e-05,3.989789331379419e-07
64,YDL085W,0.6409765755939012,3.911823226710371e-09,2.675687087069894e-05,4.1164416724152215e-07
65,YPR020W,0.6344675064934027,6.267079092309705e-09,4.286682099139838e-05,6.494972877484603e-07
66,YDR529C,0.6322211442873269,7.355255458831142e-09,5.030994733840501e-05,7.508947363941047e-07
67,YCR028C-A,0.6289636147958365,9.256377143488398e-09,6.331361966146065e-05,9.310826420803036e-07
68,YML120C,0.6275709914538672,1.02040400451888e-08,6.979563390909139e-05,1.0115309262187157e-06
69,YPL004C,0.6245101903275762,1.2620525376284679e-08,8.63243935737872e-05,1.2332056224826743e-06
70,YNL052W,0.6222755709630073,1.471764420422959e-08,0.0001006686863569304,1.4178688219285972e-06
71,YOR120W,0.6220408246005849,1.4956190453388278e-08,0.00010230034270117582,1.4208380930718864e-06
72,YGR244C,0.6190180164713426,1.8374797572472434e-08,0.00012568361539571144,1.7216933615850881e-06
73,YBR039W,0.6180201935575518,1.9657394866459286e-08,0.0001344565808865815,1.816980822791642e-06
74,YDL110C,0.6141789202838184,2.5432155954969577e-08,0.0001739559467319919,2.3194126230932252e-06
75,YBR026C,0.6043241870250461,4.8485421680253906e-08,0.0003316402842929367,4.363687951222851e-06
76,YHR051W,0.5950795305058325,8.709475308054672e-08,0.0005957281110709396,7.736728715207007e-06
77,YDL078C,0.5888643889429871,1.278105708482586e-07,0.0008742243046020889,1.1208003905154986e-05
78,Q0045,0.587591116865798,1.3812190473967652e-07,0.0009447538284193873,1.1958909220498575e-05
79,YCR083W,0.5866585786845087,1.4616710867893556e-07,0.0009997830233639193,1.249728779204899e-05
80,YGL191W,0.5842324365299161,1.692219660485405e-07,0.001157478247772017,1.4289854910765644e-05
81,Q0065,0.5836416994247445,1.753339566035572e-07,0.0011992842631683312,1.4625417843516235e-05
82,Q0275,0.5836416994247446,1.753339566035572e-07,0.0011992842631683312,1.4449207989979894e-05
83,YPL132W,0.5836416994247444,1.7533395660355918e-07,0.0011992842631683449,1.4277193609146963e-05
84,YIL111W,0.5834620993251844,1.7723309824726622e-07,0.001212274392011301,1.4262051670721187e-05
85,YLR395C,0.5817024888573514,1.9689567630155885e-07,0.0013467664259026626,1.5660074719798402e-05
86,YML081C-A,0.5813915707996213,2.0057729389349007e-07,0.001371948690231472,1.5769525175074392e-05
87,YPR160W;REV__YKL194C,0.5803512628221879,2.1337373620686756e-07,0.0014594763556549741,1.6584958586988343e-05
88,YHR096C;YHR092C,0.5798672918523219,2.1958596820241073e-07,0.0015019680225044894,1.6876045196679657e-05
89,YOR388C;YPL275W;YPL276W,0.5797107172296593,2.2163202496560482e-07,0.001515963050764737,1.6844033897385966e-05
90,YFL014W,0.5785718427686716,2.3706485157585847e-07,0.001621523584778872,1.7818940492075516e-05
91,YMR256C,0.5785427128179605,2.374725807045532e-07,0.0016243124520191438,1.7655570130642867e-05
92,YGL187C,0.5780346735512083,2.44690831355018e-07,0.0016736852864683229,1.7996615983530353e-05
93,YMR107W,0.57645320451967,2.685083590860431e-07,0.0018365971761485347,1.953826783136739e-05
94,YOR142W,0.5752612376960493,2.878873277705905e-07,0.001969149321950839,2.0727887599482516e-05
95,YHR008C,0.5747482058129892,2.966278175084637e-07,0.002028934271757892,2.113473199747804e-05
96,YBR230C,0.5715910631472885,3.561738732792579e-07,0.002436229293230124,2.5115765909588907e-05
97,YAR035W,0.5711460083673692,3.6542250788215987e-07,0.0024994899539139736,2.5504999529734423e-05
98,YNL274C,0.5710501289908165,3.674443823507595e-07,0.002513319575279195,2.5387066416961563e-05
99,YGR243W;YHR162W,0.5694351692882206,4.0312567803457496e-07,0.002757379637756493,2.757379637756493e-05
100,YLR259C,0.5690918902918408,4.111196186292918e-07,0.0028120581914243556,2.7842160311132233e-05
101,YGL040C,0.568925567489176,4.1504627488559405e-07,0.002838916520217463,2.7832514904092776e-05
102,YFL018C,0.5648678109900214,5.225365699761377e-07,0.0035741501386367816,3.4700486782881375e-05
103,YML042W,0.5615132077994344,6.306714601413235e-07,0.004313792787366653,4.147877680160243e-05
104,YFR053C,0.5614447263178967,6.33084089183713e-07,0.004330295170016597,4.124090638111044e-05
105,YDR342C;YDR343C,0.5581099128915611,7.616633209337815e-07,0.005209777115187065,4.914884070931194e-05
106,YLL009C,0.5576636377264065,7.806259912455442e-07,0.005339481780119522,4.99016988796217e-05
107,YGR086C,0.557376756970731,7.930493957903479e-07,0.0054244578672059795,5.0226461733388696e-05
108,YLR038C,0.5561774954686649,8.470254563204416e-07,0.00579365412123182,5.3152790103044224e-05
109,YKR009C,0.555641585719888,8.722461335654296e-07,0.005966163553587539,5.423785048715944e-05
110,YOR100C,0.5547607350932566,9.152404297231391e-07,0.006260244539306271,5.639859945320965e-05
111,Q0250,0.554092027518015,9.492022685593903e-07,0.00649254351694623,5.796913854416276e-05
112,YPL280W;YMR322C;YOR391C,0.5494663155066011,1.218652665736734e-06,0.00833558423363926,7.376623215609965e-05
113,YGR231C,0.5487953482036225,1.2632412790669312e-06,0.00864057034881781,7.579447674401587e-05
114,YKL150W,0.5477040101984934,1.3390536145584705e-06,0.009159126723579939,7.964458020504294e-05
115,YEL066W,0.5469315647172804,1.3952740727380083e-06,0.009543674657527977,8.227305739248256e-05
116,YDR032C,0.5453710743913252,1.5156801283980647e-06,0.010367252078242762,8.860899212173301e-05
117,YFL059W;YNL333W,0.5450987210480001,1.537669623310752e-06,0.010517660223445543,8.913271375801307e-05
118,YKL142W,0.5419207369543525,1.8174016917212243e-06,0.012431027571373173,0.00010446241656616113
119,YPR006C,0.5417808135901047,1.830753363707475e-06,0.012522353007759128,0.00010435294173132607
120,YPR165W,0.5405754810589747,1.949640429078238e-06,0.013335540534895147,0.00011021107880078634
121,YBR117C,0.5391078583580804,2.1041783659079353e-06,0.014392580022810278,0.00011797196740008425
122,YJR008W,0.5361486311842248,2.4513587618445975e-06,0.016767293931017047,0.00013631946285379713
123,YLR354C,0.5360816526661536,2.4598055127235498e-06,0.01682506970702908,0.00013568604602442804
124,YJL221C;YIL172C;YOL157C,0.5346875385277919,2.6419373625752144e-06,0.018070851560014468,0.00014456681248011574
125,YOR215C,0.5341077514751091,2.721342287674771e-06,0.018613981247695432,0.0001477300099023447
126,YGR292W;YBR299W,0.5321502009516745,3.006277447280578e-06,0.020562937739399153,0.0001619128955858201
127,YDR119W-A,0.5313808196328701,3.1257348483244977e-06,0.021380026362539564,0.00016703145595734035
128,YFR049W,0.5309427229201241,3.195727955672979e-06,0.021858779216803178,0.000169447900905451
129,YER044C,0.5302441213574467,3.3103856895888405e-06,0.02264303811678767,0.00017417721628298208
130,YHR043C;YHR044C,0.5264905861764169,3.9953056591196e-06,0.027327890708378065,0.00020860985273571042
131,YDL174C,0.5249157311294596,4.320427783677886e-06,0.029551726040356743,0.00022387671242694502
132,YPR058W,0.5225598472006433,4.853300148251376e-06,0.033196573014039416,0.00024959829333864224
133,YLR270W,0.5220975099323217,4.964841682555804e-06,0.0339595171086817,0.000253429232154341
134,YDL124W,0.5200587947073059,5.485901243603389e-06,0.03752356450624718,0.00027795232967590505
135,YML078W,0.5196999977947919,5.582734224400172e-06,0.038185902094897174,0.0002807786918742439
