,Gene name,mito,ORF,value,R value,P value,BH
0,ALD4,core,YOR374W,0.012372267037043016,0.842803828184252,1.6442243125980286e-14,2.0448171451219117e-12
1,PET9,core,YBL030C,0.0050511984662175964,0.5846317006047332,1.5953610656352265e-05,0.0008204714051838307
2,POR1,core,YNL055C,0.004498737251149662,0.7393719389987715,8.65335488561958e-10,8.578108321396802e-08
3,ATP1,core,YBL099W,0.004456259614906638,0.8848293518690169,1.543665677274809e-17,2.030514083184556e-15
4,ATP2,core,YJR121W,0.004113298616146047,0.7735216305230078,4.54619226868746e-11,5.270500867427496e-09
5,ACS1,core,YAL054C,0.0037181280411988054,0.7635266426417856,1.0634761321702269e-09,1.0391681062920502e-07
6,SOD1,mito,YJR104C,0.003024022886851548,0.4004137838789035,0.003959600707218638,0.07461065795420242
7,ALD6,mito,YPL061W,0.002926442743239431,0.23141774195813922,0.10587458922881764,0.48472703502350245
8,ACO1,core,YLR304C,0.002709051202591107,0.7085214288381254,1.7599478397691562e-08,1.4680540517098814e-06
9,AAC3,core,YBR085W,0.0026608952943177324,0.538286994852799,5.5289406498312264e-05,0.002720716118334215
10,CPR1,mito,YDR155C,0.0024951132245012576,0.09203531320889237,0.5249856503881374,0.9278816146394987
11,CIT1,core,YNR001C,0.0022246264667057304,0.9398922615051807,1.435418933750174e-23,2.283317559732835e-21
12,HSP60,mito,YLR259C,0.0021948285279926637,0.5025062026656113,0.0002730837163675304,0.009883029735205861
13,MDH1,core,YKL085W,0.001979264524502964,0.7666881156004575,8.528288855408527e-11,9.114608714217863e-09
14,QCR2,core,YPR191W,0.0019651531223519,0.8787942246859767,4.901230067813689e-17,6.325361068650119e-15
15,SSC1,mito,YJR045C,0.0018946351978254793,0.3104087962715136,0.03577043282357646,0.2987420763287704
16,AI4,core,Q0065,0.001884294852574403,0.5232122044908137,9.677715752445397e-05,0.004163243757655756
17,ILV5,mito,YLR355C,0.0018716369357302761,0.39474263519778013,0.009680853251216167,0.13881978247026958
18,ICL1,core,YER065C,0.001835073973070447,0.6109204828444538,5.100268291140276e-06,0.0002836246757024348
19,HSC82,mito,YMR186W,0.0018303234754143802,-0.22580641847276853,0.11874439461929767,0.5153627279162412
20,CYC1,mito,YJR048W,0.0017983143967232925,0.14458983054709307,0.31642965062760436,0.7713395617579522
21,ADH3,core,YMR083W,0.0017867442863894645,0.3953259402280973,0.0044912586644534035,0.08127039488058539
22,ACH1,core,YBL015W,0.0017403894812880135,0.7190571236368206,4.0580275725193804e-09,3.802316246031858e-07
23,COB,core,Q0105,0.0016841312468267484,0.7062438765097194,1.00561523446295e-08,9.05053711016655e-07
24,LPD1,core,YFL018C,0.0016633845943920984,0.47693284368967614,0.00046223847585092324,0.0149137319566996
25,VMA1,core,YDL185W,0.00164859690055259,0.06257170974128098,0.6659729523221809,1.0301345531170776
26,TMA19,mito,YKL056C,0.0015797316127349106,0.02135611608439558,0.882968031630172,1.1686341595105219
27,KGD1,core,YIL125W,0.001551336701083584,0.7446664778705134,5.650070626257534e-10,5.768131803522616e-08
28,GUT2,core,YIL155C,0.001540366059782273,0.6739616602378131,8.107137470387544e-08,6.0937165162033844e-06
29,YHB1,mito,YGR234W,0.0014635855479597792,0.41225349958291935,0.002931054192608017,0.06187781073283591
30,ATP6,core,Q0085,0.0014147888597791363,0.9100672123232183,5.462621484699503e-20,7.94985765007332e-18
31,COR1,core,YBL045C,0.0013870409681747662,0.8685831450786708,3.0296023524839105e-16,3.837496313146286e-14
32,FUM1,core,YPL262W,0.0013336318082039955,0.7105222724691005,7.467597789640619e-09,6.902482281235383e-07
