,variable,value
0,Gal1_paulo_2015,0.09491853463818654
1,Gal2_paulo_2015,0.09682747857271555
2,Gal3_paulo_2015,0.0967816153919914
3,Glu1_paulo_2015,0.11041097112578485
4,Glu2_paulo_2015,0.10959420490167951
5,Glu3_paulo_2015,0.10751654583905539
6,KUL,0.20848201519702292
7,LAHT,0.2915355645965805
8,Nagaraj_Abundance,0.2055449944162446
9,Newman_minimal_Abundance,0.15547659521398433
10,Newman_rich_Abundance,0.1845380397355929
11,PENG,0.1065914650411778
12,Raf1_paulo_2015,0.14798667374020213
13,Raf2_paulo_2015,0.14635232130494696
14,Raf3_paulo_2015,0.14391382699184793
15,THAK,0.1036314588681094
16,WEB,0.07407143739991268
17,bartolomeo_2020_DiauxicRepl1,0.2720137269127742
18,bartolomeo_2020_DiauxicRepl2,0.2872755058300642
19,bartolomeo_2020_DiauxicRepl3,0.2758965730617603
20,bartolomeo_2020_EtOHRepl1,0.2948115071130098
21,bartolomeo_2020_EtOHRepl2,0.2867087022487706
22,bartolomeo_2020_EtOHRepl3,0.2927227994903681
23,bartolomeo_2020_GluRepl1,0.12103267896810702
24,bartolomeo_2020_GluRepl2,0.12154466356720436
25,bartolomeo_2020_GluRepl3,0.1183511841527843
26,deGodoy_Abundance,0.21971463923781728
27,gao_2021_intensity,0.22713970265878378
28,kito_2016_glu_1,0.11815278185677873
29,kito_2016_glu_2,0.11551955933702124
30,kito_2016_glu_3,0.11472846866105364
31,kito_2016_gly_1,0.1760000402294926
32,kito_2016_gly_2,0.16997337301164028
33,kito_2016_gly_3,0.18434725635197766
34,morgenstein_2017_GlcRep1,0.26449270490464427
35,morgenstein_2017_GlcRep2,0.28221668781295856
36,morgenstein_2017_GlcRep3,0.2917296165515229
37,morgenstein_2017_GlyRep1,0.3807174005541769
38,morgenstein_2017_GlyRep2,0.39398382177666164
39,morgenstein_2017_GlyRep3,0.3948247774045646
40,paulo_acetate,0.17183942765044366
41,paulo_fructose,0.0763152971069005
42,paulo_glucose,0.07121396399378123
43,paulo_glycerol,0.13323877998198608
44,paulo_lactate,0.14251639822689724
45,paulo_maltose,0.15586121006594228
46,paulo_oleate,0.14682448860704045
47,paulo_pryuvate,0.13062090606558682
48,paulo_sucrose,0.07149309205014118
49,paulo_trehalose,0.14731252312367557
