,variable,value
0,Gal1_paulo_2015,0.2076885478013451
1,Gal2_paulo_2015,0.20929981761085234
2,Gal3_paulo_2015,0.20881578396444261
3,Glu1_paulo_2015,0.19957046694075797
4,Glu2_paulo_2015,0.1997098319451376
5,Glu3_paulo_2015,0.1982999329911793
6,KUL,0.13547531736364152
7,LAHT,0.41519203221352924
8,Nagaraj_Abundance,0.19465004532513955
9,Newman_minimal_Abundance,0.14236862177728588
10,Newman_rich_Abundance,0.11021265371861039
11,PENG,0.18731355559262391
12,Raf1_paulo_2015,0.28691200727917493
13,Raf2_paulo_2015,0.28617005995001327
14,Raf3_paulo_2015,0.2855054875100568
15,THAK,0.16923223789048844
16,WEB,0.17970551246281533
17,bartolomeo_2020_DiauxicRepl1,0.17089386397943282
18,bartolomeo_2020_DiauxicRepl2,0.18909894976576244
19,bartolomeo_2020_DiauxicRepl3,0.17634878507371285
20,bartolomeo_2020_EtOHRepl1,0.306496778395849
21,bartolomeo_2020_EtOHRepl2,0.30407080517169516
22,bartolomeo_2020_EtOHRepl3,0.30095459986032147
23,bartolomeo_2020_GluRepl1,0.0706740983391133
24,bartolomeo_2020_GluRepl2,0.0694911298408621
25,bartolomeo_2020_GluRepl3,0.06967322390057146
26,deGodoy_Abundance,0.16477903174267436
27,gao_2021_intensity,0.1325774162857196
28,kito_2016_glu_1,0.15203057718268545
29,kito_2016_glu_2,0.16741303999701762
30,kito_2016_glu_3,0.14828426311789572
31,kito_2016_gly_1,0.2686490900595376
32,kito_2016_gly_2,0.2812911080377498
33,kito_2016_gly_3,0.27603138188305154
34,morgenstein_2017_GlcRep1,0.18475666047236952
35,morgenstein_2017_GlcRep2,0.19694433560573044
36,morgenstein_2017_GlcRep3,0.18109738408411835
37,morgenstein_2017_GlyRep1,0.42718528876832734
38,morgenstein_2017_GlyRep2,0.4295225269775829
39,morgenstein_2017_GlyRep3,0.4233262184423136
40,paulo_acetate,0.3714111106022234
41,paulo_fructose,0.13398860873224094
42,paulo_glucose,0.12942381710811676
43,paulo_glycerol,0.28107532299215937
44,paulo_lactate,0.26730758829357787
45,paulo_maltose,0.25464024095837334
46,paulo_oleate,0.29433091654153887
47,paulo_pryuvate,0.26479197728359904
48,paulo_sucrose,0.14192116808936875
49,paulo_trehalose,0.27408609942157686
