,variable,value,estimate,organism
0,bartolomeo_2020_EtOHRepl1,0.12111108573628393,respiration,yeast
1,bartolomeo_2020_EtOHRepl2,0.11999795159343996,respiration,yeast
2,bartolomeo_2020_EtOHRepl3,0.11913150415998075,respiration,yeast
3,kito_2016_gly_1,0.09199968439913,respiration,yeast
4,kito_2016_gly_2,0.09449012276220611,respiration,yeast
5,kito_2016_gly_3,0.09634152697791624,respiration,yeast
6,morgenstein_2017_GlyRep1,0.1993954553788939,respiration,yeast
7,morgenstein_2017_GlyRep2,0.20400562079303,respiration,yeast
8,morgenstein_2017_GlyRep3,0.20049533331239996,respiration,yeast
9,paulo_acetate,0.13464574856048964,respiration,yeast
10,paulo_glycerol,0.09571610609809941,respiration,yeast
11,paulo_lactate,0.09444585365578712,respiration,yeast
12,paulo_oleate,0.11001065717255686,respiration,yeast
13,paulo_pryuvate,0.08696864672323681,respiration,yeast
