,variable,value,estimate,organism
0,bartolomeo_2020_EtOHRepl1,0.20556604540944662,respiration,yeast
1,bartolomeo_2020_EtOHRepl2,0.20364570803031526,respiration,yeast
2,bartolomeo_2020_EtOHRepl3,0.20240739118556064,respiration,yeast
3,kito_2016_gly_1,0.20157334837770616,respiration,yeast
4,kito_2016_gly_2,0.21080908182924482,respiration,yeast
5,kito_2016_gly_3,0.20283206364009526,respiration,yeast
6,morgenstein_2017_GlyRep1,0.27190081890420537,respiration,yeast
7,morgenstein_2017_GlyRep2,0.2736947383150513,respiration,yeast
8,morgenstein_2017_GlyRep3,0.2712842814138765,respiration,yeast
9,paulo_acetate,0.28137823997469363,respiration,yeast
10,paulo_glycerol,0.2163259905822117,respiration,yeast
11,paulo_lactate,0.20868501721199803,respiration,yeast
12,paulo_oleate,0.22680186553195145,respiration,yeast
13,paulo_pryuvate,0.20846239558671897,respiration,yeast
