,EC number,pathway,Gene name,MW,meta_pathway,MW*Subunit_Stoich,MW*Subunit_Stoich*Pathway_Stoich,pathway_stoich
0,GLUT,glycolysis,SLC2A1,54084,fermentation,60583.5,60583.5,1.0
1,GLUT,glycolysis,SLC5A10,64342,fermentation,60583.5,60583.5,1.0
2,GLUT,glycolysis,SLC5A2,72897,fermentation,60583.5,60583.5,1.0
3,GLUT,glycolysis,SLC5A9,74073,fermentation,60583.5,60583.5,1.0
4,GLUT,glycolysis,SLC5A1,73498,fermentation,60583.5,60583.5,1.0
5,GLUT,glycolysis,SLC2A14,56320,fermentation,60583.5,60583.5,1.0
6,GLUT,glycolysis,SLC2A2,57490,fermentation,60583.5,60583.5,1.0
7,GLUT,glycolysis,SLC2A12,66966,fermentation,60583.5,60583.5,1.0
8,GLUT,glycolysis,SLC2A8,50819,fermentation,60583.5,60583.5,1.0
9,pyruvate transport,pyruvate,MPC1,12347,respiration,26626.0,53252.0,2.0
10,pyruvate transport,pyruvate,MPC2,14279,respiration,26626.0,53252.0,2.0
11,mitco_shuttle,mitco_shuttle,SLC25A11,34062,respiration,34062.0,68124.0,2.0
12,1.1.1.27,fermentation,LDHB,36638,fermentation,36546.0,73092.0,2.0
13,1.1.1.27,fermentation,LDHC,36311,fermentation,36546.0,73092.0,2.0
14,1.1.1.27,fermentation,LDHA,36689,fermentation,36546.0,73092.0,2.0
15,1.1.1.37,tca,MDH2,35503,respiration,35503.0,71006.0,2.0
16,1.1.1.41,tca,IDH3G,42794,respiration,82081.0,164162.0,2.0
17,1.1.1.41,tca,IDH3B,42184,respiration,82081.0,164162.0,2.0
18,1.1.1.41,tca,IDH3A,39592,respiration,82081.0,164162.0,2.0
19,1.1.1.8,mitco_shuttle,GPD2,80853,respiration,80853.0,161706.0,2.0
20,1.2.1.12,glycolysis,GAPDH,36053,fermentation,36053.0,72106.0,2.0
21,1.2.4.1,pyruvate,PDHA1,43296,respiration,125462.0,250924.0,2.0
22,1.2.4.1,pyruvate,PDHB,39233,respiration,125462.0,250924.0,2.0
23,1.2.4.1,pyruvate,PDHA2,42933,respiration,125462.0,250924.0,2.0
24,1.2.4.2,tca,OGDH,115935,respiration,115935.0,231870.0,2.0
25,1.3.5.1,tca,SDHB,31630,respiration,139975.0,279950.0,2.0
26,1.3.5.1,tca,SDHA,72692,respiration,139975.0,279950.0,2.0
27,1.3.5.1,tca,SDHD,17043,respiration,139975.0,279950.0,2.0
28,1.3.5.1,tca,SDHC,18610,respiration,139975.0,279950.0,2.0
29,1.8.1.4,pyruvate,DLD,54177,respiration,108354.0,216708.0,2.0
30,1.8.1.4,tca,DLD,54177,respiration,108354.0,216708.0,2.0
31,2.3.1.12,pyruvate,DLAT,68997,respiration,68997.0,137994.0,2.0
32,2.3.3.1,tca,CS,51712,respiration,51712.0,103424.0,2.0
