Accession,arike_abundance,li_complete,li_minimal,li_without_methionine,valgepea_11_abundance,valgepea_21_abundance,valgepea_31_abundance,lu_abundance,valgepea_40_abundance,valgepea_48_abundance,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,minimal_0.21_1,minimal_0.31_1,minimal_0.41_1,minimal_0.51_1,minimal_0.22_2,minimal_0.26_2,minimal_0.36_2,minimal_0.46_2,minimal_0.51_2,rich_0.22_1,rich_0.25_1,rich_0.35_1,rich_0.45_1,rich_0.55_1,rich_0.65_1,rich_0.74_1,rich_0.82_1,rich_0.22_2,rich_0.42_2,rich_0.53_2,rich_0.63_2,rich_0.73_2,rich_0.78_2
b3339,0.018349138840382702,0.03204778372513799,0.020684860998223788,0.03241485418894797,0.01834665000348449,0.022059334412458456,0.02147739532061223,,0.020647798834001745,0.020352815324275644,0.07468768918121907,0.08713646801075217,0.08112335712560889,0.054630512915267944,0.06319454704361367,0.055954998604881234,0.06090111968484497,0.06282373372385726,0.056566522204156755,0.04983741323715883,0.045554894926071204,0.04515209472510035,0.045196488107397036,0.04591926325190938,0.06478133394887868,0.07076900488742656,0.055223670511509296,0.06561616921912226,0.06132257908852647,0.05352996922610781,0.06406764760656972,0.0660468266113173,0.023436257778497793,0.025081333731217254,0.02680913137286646,0.027459493882444168,0.02386771757409963,0.024671308058633077,0.026284213554389913,0.02701114385374791,0.028307912785614155,0.027712275972319872,0.029627500741350406,0.028713949971035286,0.02978429250922213,0.03043426638009611,0.030297884231778028,0.0299214563123636,0.03254380108684992,0.031056534520381703,0.028894156441161747,0.029740909320292913,0.02897685925993753,0.02935590516178532,0.031201832549064983
b4015,0.015083098780637837,8.207390292843338e-05,0.0025114657148114024,0.00024103211038754773,0.015081052942241213,0.01848289618443114,0.011373679166225184,,0.006191235816261377,0.003266463885333158,0.009160589501784881,0.0032778608656082323,0.006214355281697586,0.09751801838145961,0.05074014726129565,0.031021451226546155,0.026271942871345533,0.018003219216388946,0.03755146820168253,0.07084730313125522,0.08897000492360013,0.10595034505753426,0.010919471526747123,0.01063012865831603,0.014428569834068435,0.01891105075047343,0.007483207525834956,0.009295623972708989,0.04888031666476748,0.08161995307743171,0.04352964993410907,0.010401386466333203,0.03933833494786311,0.028552919072119945,0.017383723107266484,0.009811667181131216,0.040613581639033954,0.03544737322085313,0.022512310313935774,0.01345216031315852,0.010231674952003398,0.03189955227043994,0.033257431374916914,0.023841325647485277,0.017435336652694592,0.011542117086265388,0.007195273123826672,0.0050373087808631934,0.0030206685066289257,0.026193300124202352,0.01721277438169143,0.011553761505923459,0.00769105218038191,0.005548141590004992,0.0040842735778478445
b3908,0.012376523617979031,0.0027793333817032534,0.0036335080447631725,0.002004492960821057,0.012374844893493922,0.01225946487622419,0.010648846046408584,,0.009269769596407691,0.008572606466016444,0.003424905084000653,0.0028408127501938015,0.003949023799699452,0.004814633054121277,0.005350779165736632,0.004234674294417411,0.004311977087175155,0.004060101000362715,0.0039204951158419415,0.003864842536332612,0.003738992611979145,0.0037082620770136987,0.005040312353736917,0.005199362248523283,0.005342356760719216,0.0029565717597413764,0.004842075457893206,0.004290287987404148,0.005199088227070722,0.005215197001830702,0.004998185274271397,0.004310840778822507,0.01051569654243972,0.008830611249168868,0.007338875695838875,0.006421052485483217,0.010544545127112134,0.0100316043721944,0.008014167282091299,0.006662162355596697,0.00637045766467194,0.011741099554117371,0.012160952351694407,0.010733846787293269,0.00972701585790532,0.008435690743167232,0.007052584669859378,0.006016289231856313,0.004754739311712333,0.01230218788554582,0.009582478239952322,0.008073859477182466,0.0064089052436659315,0.006383623600853245,0.003880392802629415
b1094,0.011948037124893054,0.019805379144628328,0.015251720544747648,0.02052900004155726,0.011946416519374925,0.007442310677661197,0.009402662858684031,0.030615445391322885,0.008114569553006181,0.0072811434298708354,0.0017083261503328558,0.0017673133167071054,0.001962266864811898,0.0011130328799559264,0.0018681599673477038,0.001633885959262532,0.0018359242649518958,0.0016502950948356534,0.0013793528875936686,0.0012996815608906128,0.0012726089311856728,0.001385978351043326,0.0035578675438142945,0.0031890385974948088,0.0026585586399799563,0.0028975975890018543,0.002381020576402031,0.002098876182073206,0.0019241070105313015,0.001945098881780353,0.001931117037786676,0.001744110810514427,0.004002006746612947,0.003576082196105097,0.003078023674127928,0.003304193142842579,0.00376223270641543,0.003983315305949924,0.003766423460457882,0.0029849386076586824,0.002989468523878271,0.004548921789674132,0.00498867846844906,0.004772703483090693,0.00423589213855969,0.003729159767063582,0.0034565332417619736,0.002853102214973095,0.0014157658170792118,0.0047470289069512376,0.00436180548421417,0.0038047480960468447,0.003754790013199059,0.0031477094421596737,0.00334711374810538
b2096,0.01088617649246383,0.00030554957388258984,0.0016120930755758674,0.0007405790407151287,0.010884699915390074,0.0,0.0,,0.0,0.0,0.001039850700202608,0.0015924940705413328,0.0019194092421795008,0.010160254271157309,0.006365582110962545,0.003554261511382056,0.003178416100340449,0.004092919368725924,0.0050039615795984815,0.005765504668612493,0.004741312920612108,0.006104464648373049,0.0003369850153287523,0.0002957634436225344,0.0005678883170843261,0.0003750757259033608,0.0007963413356369819,0.001581517924768588,0.004532538454369348,0.0042717975441824655,0.0059523842811777545,0.0024836770725692975,0.0128952721858005,0.009175069028691888,0.005213798876191849,0.0030161509934477277,0.013537053324677938,0.012289258375667666,0.006770308975699787,0.003839347796593169,0.0030104363496860523,0.014824960945720389,0.013719395377841495,0.011897909610528227,0.009678043751840247,0.007417571025139009,0.0056957251920517395,0.004170452781751517,0.002631186464210356,0.012111779698166056,0.009681972621878188,0.007162720184402542,0.005432717822117425,0.004596390357904665,0.003192931498373967
b4000,0.010667723225792267,0.004800133443421943,0.005152807297036577,0.003663630757531537,0.010666276279239885,0.011507491740801927,0.011473012608724967,0.006059356888571594,0.011025913622648912,0.011286051501247259,0.0086654225016884,0.012018823173896853,0.008877650402425124,0.0059736168327909804,0.007426512462789637,0.007699407808031658,0.009513021615004981,0.00928290990845055,0.006570419117559746,0.006644988431621179,0.006363044655928363,0.006406299933711374,0.008316153811761054,0.008677656047604922,0.008707620861959666,0.007312797171700745,0.007803344746191531,0.008917069150290976,0.008665147045117871,0.007684995581965973,0.008724105206000983,0.007395662620548704,0.013705077033495505,0.012577134935616012,0.01183313725849485,0.011887526998498097,0.013592871566515369,0.014146580618911645,0.012628766717735463,0.011720948875501609,0.011546699327250875,0.014318703579094056,0.014638167013666157,0.013495509198746421,0.012249612907326022,0.01126512458093823,0.010342262849266018,0.010131726791590231,0.007788504782313567,0.016000180149210057,0.01230212387841519,0.011339181369668211,0.010219391868187894,0.009523779498292565,0.00968177292472414
b3236,0.00922602522176281,0.000527364950104546,0.002865253255280066,0.0006733231526006486,0.009224773823961774,0.01167900831656878,0.011422141845747807,0.011708539630709223,0.010780215171331634,0.0073083639622486115,0.0117602162522914,0.010707678827653559,0.018153264443579648,0.03277830774916077,0.017159395255638168,0.01607027559932189,0.01573649369958768,0.03244330129620091,0.016665367695532337,0.015830707734156336,0.014809564110700528,0.013982981586081555,0.006313045458841218,0.007520635241257599,0.014218240827740905,0.013249530359479306,0.007683293288557815,0.015941364188491885,0.021640649287037964,0.01415099186472355,0.017448210412001966,0.016056893176164565,0.015634745432452402,0.015276465992856803,0.015188538771648281,0.014451169587114404,0.015831971403507627,0.016252224505382818,0.015308247192600535,0.01579714421967503,0.014424038097124985,0.018020802410976467,0.01961487774451903,0.020681883191464707,0.02158609367949589,0.021423432744778974,0.019110121018503037,0.016305950272708,0.010912675063961302,0.01972735191473163,0.021275197018717853,0.021610332841842533,0.019906482007763987,0.017356047871131916,0.014989014813299855
b1237,0.00890091811183404,0.004764492449837377,0.00511838664365096,0.0037131173342975893,0.008900178527413101,0.008874791708602867,0.007843729832301069,0.007077023331381162,0.006836520283946032,0.006120664664910593,0.0023974335588004573,0.003305176372821634,0.00352044757337548,0.00331357036280457,0.003957731486381061,0.0028514667289047477,0.004023030168962387,0.00404134764701231,0.0038900362192704724,0.004138459707046425,0.00351375209318522,0.003843779960226824,0.004100225401103059,0.005025809127571184,0.0037901286940220584,0.0018950366864299779,0.0036975848951184484,0.0029485214501669688,0.0031594459226045157,0.0032223981474726283,0.0030488930173055524,0.0036899215106801823,0.01125065197659505,0.00991248986231279,0.008842213535694799,0.007369775647852004,0.010923694414252985,0.010744807300827428,0.00969571873871381,0.008514099670812639,0.007631849337456402,0.0116983957732809,0.011317292304412432,0.010633163537966468,0.009434181343209417,0.008361231210815985,0.007630174354648666,0.007185162385940513,0.0064663459853195795,0.012530585997270789,0.009464202361668698,0.008280060038317442,0.007367020999933764,0.007011547854074589,0.006565441174387627
b2093,0.00889951477179118,4.803786091832783e-05,0.000507438498365285,7.356112762521275e-05,0.008898307661150573,0.0,0.0,0.0038855786850361196,0.0,0.0,0.00044977669175430264,0.001395822418604839,0.0015428744147662973,0.0033390986398677794,0.0018912236706482924,0.001544357961494722,0.0013247104865754598,0.001073629479310695,0.0030850510955959336,0.0054723434142762645,0.004375297077571981,0.0036035437127126474,0.0002559929086402968,0.00014318132478548123,0.0003743856312630002,0.00023668300523461549,0.0002937258996771582,0.0007402849860618922,0.0011198036181383094,0.001743698997563314,0.001976555085734598,0.000810754458402398,0.01768225501955205,0.013007059220473384,0.006917703780062952,0.004223940475760453,0.016230217453669663,0.01716447332765487,0.010826990705276726,0.00569187650885679,0.004179180507202744,0.019396824282071783,0.009984912627060144,0.010379162665302614,0.009147240554181903,0.008418692240685777,0.0059071620766862785,0.004547949514246286,0.0020551484930178146,0.011017829519524559,0.015504992059753852,0.011816151028434516,0.00998283118193364,0.0060836593923823,0.004691064380626063
b2417,0.008830283329676853,0.0018118242980924154,0.0025114657148114024,0.0010771450830834722,0.008829553326002656,0.007833384351574041,0.007417198050415635,0.0038050544909213713,0.006759576501420982,0.005829381703056098,0.004167655584145374,0.0020841732003825677,0.002504109665235776,0.002644729503748486,0.0029337030598349124,0.004001901500221106,0.00333844823965829,0.0029114581076504,0.0034549091253923436,0.0036449715955804403,0.004048698325320791,0.004373531685514495,0.0041508454677833435,0.005025809127571184,0.004374843331612587,0.0038097314297731296,0.003913677518859137,0.002944315285473435,0.003408291171079696,0.003996197702622306,0.0027126514624909305,0.0035079961200142782,0.005965863855929818,0.005196758013373969,0.004883188923578048,0.004182061688326045,0.005992754268266507,0.005624601231305916,0.005267207224138915,0.004900766314141726,0.0043191682693184885,0.006498146703354638,0.006137642558652319,0.005230785201189615,0.004546492007753462,0.003978714308753304,0.0035945266758242414,0.003460403066134917,0.00245536588371757,0.007319799326636623,0.004885184422862698,0.004095670160822619,0.0038711837238732576,0.003826581018435311,0.0036509507782808716
