,variable,value,estimate,organism
0,Nagaraj_2012_1,0.1513131322836771,fermentation,yeast
1,Newman_2006_minimal_1,0.12060415942338153,fermentation,yeast
2,Newman_2006_rich_1,0.1633330792928796,fermentation,yeast
3,bartolomeo_2020_Glu_1,0.09925096070156769,fermentation,yeast
4,bartolomeo_2020_Glu_2,0.10083868340160482,fermentation,yeast
5,bartolomeo_2020_Glu_3,0.09680735646455109,fermentation,yeast
6,deGodoy_2008_1,0.16883159041280885,fermentation,yeast
7,gao_2021_1,0.18994578458829253,fermentation,yeast
8,ho_2018_KUL_1,0.16643539383585887,fermentation,yeast
9,ho_2018_LAHT_1,0.11300711428801795,fermentation,yeast
10,ho_2018_PENG_1,0.05675830254716361,fermentation,yeast
11,ho_2018_THAK_1,0.053060965319466455,fermentation,yeast
12,ho_2018_WEB_1,0.028188954050146226,fermentation,yeast
13,kito_2016_glu_1,0.07649247153258884,fermentation,yeast
14,kito_2016_glu_2,0.06796241201580534,fermentation,yeast
15,kito_2016_glu_3,0.07363311962566156,fermentation,yeast
16,morgenstein_2017_Glc_1,0.19569148069309833,fermentation,yeast
17,morgenstein_2017_Glc_2,0.21053321536660863,fermentation,yeast
18,morgenstein_2017_Glc_3,0.2248880838233098,fermentation,yeast
19,paulo_2015_Gal_1,0.03475387895080844,fermentation,yeast
20,paulo_2015_Gal_2,0.035404203624564354,fermentation,yeast
21,paulo_2015_Gal_3,0.03538185871960517,fermentation,yeast
22,paulo_2015_Glu_1,0.05357252614135205,fermentation,yeast
23,paulo_2015_Glu_2,0.053418855371060316,fermentation,yeast
24,paulo_2015_Glu_3,0.05177244629580435,fermentation,yeast
25,paulo_2015_Raf_1,0.045346629316235926,fermentation,yeast
26,paulo_2015_Raf_2,0.0441831895506651,fermentation,yeast
27,paulo_2015_Raf_3,0.042697470342640764,fermentation,yeast
28,paulo_2016_fructose_1,0.05174040690997528,fermentation,yeast
29,paulo_2016_glucose_1,0.04829729912412495,fermentation,yeast
30,paulo_2016_maltose_1,0.0637969618391139,fermentation,yeast
31,paulo_2016_sucrose_1,0.04574340107277815,fermentation,yeast
32,paulo_2016_trehalose_1,0.04863929439692205,fermentation,yeast
