,EC number,MW,MW*Subunit_Stoich,subunit_stoich,pathway_stoich,MW*Subunit_Stoich*Pathway_Stoich
0,1.1.1.37,36831.333333333336,36831.333333333336,1.0,2.0,73662.66666666667
0,1.1.1.41,35400.0,35400.0,1.0,2.0,70800.0
0,1.2.1.12,35532.0,35532.0,1.0,2.0,71064.0
0,1.2.4.1,99668.0,99668.0,1.0,2.0,199336.0
0,1.2.4.2,105062.0,105062.0,1.0,2.0,210124.0
0,1.3.5.1,118359.0,118359.0,4.0,2.0,236718.0
0,1.6.5.9,47359.0,47359.0,1.0,2.0,94718.0
0,1.8.1.4,50688.0,50688.0,1.0,2.0,101376.0
0,2.3.1.12,66096.0,66096.0,1.0,2.0,132192.0
0,2.3.3.16,48015.0,48015.0,1.0,2.0,96030.0
0,2.7.1.1,42853.0,42853.0,1.0,2.0,85706.0
0,2.7.1.11,33649.0,33649.0,1.0,1.0,33649.0
0,2.7.1.40,51043.0,51043.0,1.0,2.0,102086.0
0,2.7.2.3,41118.0,41118.0,1.0,2.0,82236.0
0,4.1.2.13,38628.0,38628.0,1.0,2.0,77256.0
0,4.2.1.11,45655.0,45655.0,1.0,2.0,91310.0
0,4.2.1.3,95587.5,95587.5,1.0,2.0,191175.0
0,5.3.1.1,26972.0,26972.0,1.0,2.0,53944.0
0,5.3.1.17,31076.0,31076.0,1.0,1.0,31076.0
0,5.3.1.9,61530.0,61530.0,1.0,1.0,61530.0
0,5.4.2.11,28556.0,28556.0,1.0,2.0,57112.0
0,6.2.1.5,71170.0,71170.0,2.0,2.0,142340.0
0,7.1.1.2,540414.0,540414.0,13.0,10.0,5404140.0
0,7.1.1.3,143931.0,143931.0,4.0,6.0,863586.0
0,7.1.1.7.1,104700.0,104700.0,3.0,6.0,628200.0
0,7.1.1.7.2,100344.0,100344.0,2.0,6.0,602064.0
0,7.1.2.2,227347.0,530009.0,22.0,8.8,4664079.2
0,4.1.3.1,47522.0,47522.0,1.0,2.0,95044.0
0,2.3.3.9,70381.5,70381.5,1.0,2.0,140763.0
0,1.2.1.79,51720.0,51720.0,1.0,2.0,103440.0
0,4.2.1.2,55394.0,55394.0,1.0,2.0,110788.0
0,2.3.1.61,44011.0,88022.0,2.0,2.0,176044.0
0,4.1.3.42,22284.0,22284.0,1.0,2.0,44568.0
0,2.3.1.8,77172.0,77172.0,1.0,2.0,154344.0
0,2.7.2.1,43290.0,43290.0,1.0,2.0,86580.0
0,1.2.1.104,216452.0,216452.0,3.0,2.0,432904.0
0,PTS enzyme,248904.0,248904.0,7.0,1.0,248904.0
