Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P0CS90,"Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSC1 PE=1 SV=1",SSC1,56,56,0.691,0.678,0.56,1.167,1.146,1.318,1.189,1.481,2.074,Mitochondrion matrix. Nucleus. Note=Detected also in the nucleus after heat shock.,mitochondrial nucleoid [GO:0042645];nucleus [GO:0005634];presequence translocase-associated import motor [GO:0001405];mitochondrial inner membrane [GO:0005743],70,450
P05030,Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2,PMA1,42,15,1.559,1.19,1.743,0.66,0.546,0.504,0.83,0.764,0.522,Multi-pass membrane protein.;Cell membrane,membrane raft [GO:0045121];plasma membrane [GO:0005886];integral component of membrane [GO:0016021],45,379
P19882,"Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1",HSP60,48,48,0.807,0.751,0.63,1.165,1.091,1.28,1.105,1.396,1.871,Mitochondrion matrix {ECO:0000269|PubMed:11502169}.,mitochondrial inner membrane [GO:0005743];mitochondrial intermembrane space [GO:0005758];mitochondrial matrix [GO:0005759];mitochondrial nucleoid [GO:0042645];mitochondrion [GO:0005739];cytosol [GO:0005829],66,330
P19414,"Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO1 PE=1 SV=2",ACO1,52,50,0.379,0.341,0.309,1.276,1.242,1.459,0.83,1.238,1.606,"Mitochondrion. Cytoplasm. Note=Mainly mitochondrial, small amounts are also detected in the cytosol with a ratio of 94:6.",mitochondrial intermembrane space [GO:0005758];mitochondrial matrix [GO:0005759];mitochondrial nucleoid [GO:0042645];cytosol [GO:0005829],56,328
P07251,"ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5",ATP1,43,43,0.505,0.455,0.415,1.278,1.343,1.567,0.921,1.23,1.534,Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}. Note=Peripheral membrane protein.,"mitochondrial intermembrane space [GO:0005758];mitochondrial nucleoid [GO:0042645];mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754];mitochondrion [GO:0005739];cytosol [GO:0005829]",70,286
P19657,Plasma membrane ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA2 PE=1 SV=3,PMA2,28,1,1.565,1.121,1.994,0.636,0.44,0.524,0.445,0.508,0.279,Multi-pass membrane protein.;Cell membrane,plasma membrane [GO:0005886];integral component of membrane [GO:0016021],29,270
P00830,"ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",ATP2,28,28,0.568,0.491,0.466,1.615,1.655,1.9,1.065,1.446,2.019,Mitochondrion. Mitochondrion inner membrane. Note=Peripheral membrane protein.,"mitochondrial inner membrane [GO:0005743];mitochondrial intermembrane space [GO:0005758];mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754];cytosol [GO:0005829]",67,269
P32316,Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2,ACH1,39,39,0.227,0.194,0.193,1.658,1.542,1.884,0.878,1.286,1.64,Cytoplasm {ECO:0000269|PubMed:11502169}.,mitochondrion [GO:0005739];cytosol [GO:0005829],76,268
P06168,"Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1",ILV5,26,26,0.842,0.733,0.614,0.832,0.85,0.974,0.998,1.192,1.511,Mitochondrion.,mitochondrion [GO:0005739];mitochondrial nucleoid [GO:0042645],66,222
P07342,"Acetolactate synthase catalytic subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV2 PE=1 SV=1",ILV2,36,36,0.671,0.668,0.562,0.966,1.055,1.185,0.954,1.126,1.603,Mitochondrion.,mitochondrion [GO:0005739];acetolactate synthase complex [GO:0005948],55,213
