,variable,value,estimate,organism
0,LFQ Intensity A549_1,0.03856452303003671,fermentation,mammalian
1,LFQ Intensity A549_2,0.04038776051715351,fermentation,mammalian
2,LFQ Intensity A549_3,0.04260590876682308,fermentation,mammalian
3,LFQ Intensity GAMG_1,0.04585776835051315,fermentation,mammalian
4,LFQ Intensity GAMG_2,0.046507339230046726,fermentation,mammalian
5,LFQ Intensity GAMG_3,0.048981199432297,fermentation,mammalian
6,LFQ Intensity HEK293_1,0.03344606385418193,fermentation,mammalian
7,LFQ Intensity HEK293_2,0.03342141787929053,fermentation,mammalian
8,LFQ Intensity HEK293_3,0.03634079672967539,fermentation,mammalian
9,LFQ Intensity HeLa_1,0.035043902301287504,fermentation,mammalian
10,LFQ Intensity HeLa_2,0.03850825627509949,fermentation,mammalian
11,LFQ Intensity HeLa_3,0.03781976477845842,fermentation,mammalian
12,LFQ Intensity HepG2_1,0.02767324475886862,fermentation,mammalian
13,LFQ Intensity HepG2_2,0.031949848071712035,fermentation,mammalian
14,LFQ Intensity HepG2_3,0.03212891165781705,fermentation,mammalian
15,LFQ Intensity Jurkat_1,0.036329637658463754,fermentation,mammalian
16,LFQ Intensity Jurkat_2,0.045973292576421576,fermentation,mammalian
17,LFQ Intensity Jurkat_3,0.04559338268920122,fermentation,mammalian
18,LFQ Intensity K562_1,0.028788296954107027,fermentation,mammalian
19,LFQ Intensity K562_2,0.03097107555715591,fermentation,mammalian
20,LFQ Intensity K562_3,0.023681595334821184,fermentation,mammalian
21,LFQ Intensity LnCap_1,0.03222814807264665,fermentation,mammalian
22,LFQ Intensity LnCap_2,0.03729341157093873,fermentation,mammalian
23,LFQ Intensity LnCap_3,0.04043808036827251,fermentation,mammalian
24,LFQ Intensity MCF7_1,0.032789933451804316,fermentation,mammalian
25,LFQ Intensity MCF7_2,0.03584849868028353,fermentation,mammalian
26,LFQ Intensity MCF7_3,0.04121317689358246,fermentation,mammalian
27,LFQ Intensity RKO_1,0.039778829706208704,fermentation,mammalian
28,LFQ Intensity RKO_2,0.042335072005409875,fermentation,mammalian
29,LFQ Intensity RKO_3,0.036601111838410805,fermentation,mammalian
30,LFQ Intensity U2OS_1,0.03915633534795167,fermentation,mammalian
31,LFQ Intensity U2OS_2,0.04026816236523104,fermentation,mammalian
32,LFQ Intensity U2OS_3,0.040836689404011306,fermentation,mammalian
