,variable,value,estimate,organism
0,bartolomeo_2020_EtOHRepl1,0.09859754541054377,respiration,yeast
1,bartolomeo_2020_EtOHRepl2,0.09721915291525786,respiration,yeast
2,bartolomeo_2020_EtOHRepl3,0.09708397127619328,respiration,yeast
3,kito_2016_gly_1,0.06860974308647953,respiration,yeast
4,kito_2016_gly_2,0.07157514465254422,respiration,yeast
5,kito_2016_gly_3,0.07439426870784481,respiration,yeast
6,morgenstein_2017_GlyRep1,0.16605484127569767,respiration,yeast
7,morgenstein_2017_GlyRep2,0.16402962182541095,respiration,yeast
8,morgenstein_2017_GlyRep3,0.1620776537183241,respiration,yeast
9,paulo_acetate,0.1073982260166753,respiration,yeast
10,paulo_glycerol,0.07245760633997729,respiration,yeast
11,paulo_lactate,0.07180569446421961,respiration,yeast
12,paulo_oleate,0.08067210914453883,respiration,yeast
13,paulo_pryuvate,0.06768447974506296,respiration,yeast
