,EC number,MW,MW*Subunit_Stoich,subunit_stoich,index,pathway_stoich,MW*Subunit_Stoich*Pathway_Stoich
0,1.1.1.1,38544.96,38544.96,1.0,,2.0,77089.92
0,1.1.1.37,35652.3,35652.3,1.0,,2.0,71304.6
0,1.1.1.41,79072.4,79072.4,2.0,,2.0,158144.8
0,1.1.1.8,46136.2,46136.2,1.0,,4.0,184544.8
0,1.2.1.12,35780.833333333336,35780.833333333336,1.0,,2.0,71561.66666666667
0,1.2.4.1,86391.5,86391.5,2.0,,2.0,172783.0
0,1.2.4.2,128107.5,128107.5,2.0,,2.0,256215.0
0,1.6.5.9,60573.0,60573.0,1.0,,2.0,121146.0
0,1.8.1.4,54012.7,27006.35,0.5,,2.0,54012.7
0,2.6.1.1,48934.05,48934.05,1.0,,4.0,195736.2
0,2.7.1.1,54340.9,54340.9,1.0,,1.0,54340.9
0,2.7.1.11,212568.3,212568.3,2.0,,1.0,212568.3
0,2.7.1.40,54869.600000000006,54869.600000000006,1.0,,2.0,109739.20000000001
0,2.7.2.3,44738.8,44738.8,1.0,,2.0,89477.6
0,4.1.1.1,61654.43333333333,61654.43333333333,1.0,,2.0,123308.86666666665
0,4.1.2.13,39609.1,39609.1,1.0,,1.0,39609.1
0,4.2.1.11,46858.55,46858.55,1.0,,2.0,93717.1
0,4.2.1.2,53156.5,53156.5,1.0,,2.0,106313.0
0,4.2.1.3,85372.2,85372.2,1.0,,2.0,170744.4
0,5.3.1.1,26792.7,26792.7,1.0,,1.0,26792.7
0,5.3.1.9,61289.6,61289.6,1.0,,1.0,61289.6
0,6.2.1.5,81937.0,81937.0,2.0,,2.0,163874.0
0,7.1.1.8,250615.0,250615.0,10.0,,12.0,3007380.0
0,7.1.1.9,394296.9,403214.80000000005,17.0,,6.0,2419288.8000000003
0,7.1.2.2,347253.9,1256453.5999999999,57.0,,7.2,9046465.92
0,2.3.1.-,13937.8,13937.8,1.0,,2.0,27875.6
0,3.6.1.1,33932.3,33932.3,1.0,,16.2,549703.26
0,3.6.3.14,105251.86666666665,105251.86666666665,1.0,,7.2,757813.44
0,2.3.3.1,53590.2,53590.2,1.0,,2.0,107180.4
0,4.1.3.1,63688.0,63688.0,1.0,,2.0,127376.0
0,1.1.1.42,47540.166666666664,47540.166666666664,1.0,,2.0,95080.33333333333
0,2.3.1.61,50436.3,50436.3,1.0,,2.0,100872.6
0,6.4.1.1,130115.9,130115.9,1.0,,2.0,260231.8
0,1.3.5.1,158596.5,158596.5,5.0,,2.0,317193.0
0,glucose transport,63039.47142857142,63039.47142857142,1.0,,1.0,63039.47142857142
0,5.4.2.1,27611.8,27611.8,1.0,,2.0,55223.6
0,pyruvate transport,45809.7,45809.7,3.0,,2.0,91619.4
0,mito_shuttle,34149.78333333333,34149.78333333333,1.0,,4.0,136599.13333333333
0,ATP/ADP carrier protein,33972.36666666667,33972.36666666667,1.0,,16.2,550352.34
0,phosphate carrier protein,35345.25,35345.25,1.0,,16.2,572593.0499999999
0,phosphate carrier protein,35345.25,35345.25,1.0,0.0,16.2,572593.0499999999
